osm_id,osm_type,category,subcategory,name,name_en,name_th,lat,lng,phone,website,facebook,instagram,line_id,email,opening_hours,address_full,stars,cuisine,wheelchair,operator
1178817334,node,tourism,hotel,Krabi Grand Hotel,,,8.0621737,98.9179117,,,,,,,,,,,,
1178820127,node,tourism,guest_house,Madam Guesthouse,,,8.0625896,98.9179957,+66 93 579 1095,,,,,,,,,thai,,
1230464286,node,tourism,hostel,Pak-Up Hostel,,,8.062484,98.918032,,,,,,,,,,,,
1578549145,node,tourism,guest_house,Marina Seaview,,,8.0616929,98.9192941,,,,,,,,,,,,
1578550400,node,tourism,guest_house,Saithai Graden Resort,,,8.0728735,98.8574113,,,,,,,,,,,,
1613129542,node,tourism,hotel,Hometel,,,8.0650156,98.9167878,,,,,,,,,,,,
1613129545,node,tourism,guest_house,Orange Tree House,,,8.0646899,98.9164676,,,,,,,,,,,,
1613129548,node,tourism,hotel,โรงแรมซิตี้,City Hotel,โรงแรมซิตี้,8.0649044,98.9162048,,,,,,,,,,,,
1613926486,node,tourism,hostel,No. 89,,,8.0618961,98.9174967,+66818958071,https://m.facebook.com/89cafe/,,,,,Mo-Su 06:30-23:00;PH open,,,,,
2162572095,node,tourism,guest_house,BanPunmanus,,,8.062451,98.9115483,,,,,,,,,,,,
2191968553,node,tourism,hotel,Lada Residence,,,8.0660524,98.9160761,,https://www.booking.com/hotel/th/lada-krabi-residence.de.html,,,,,,,,,,
2828238223,node,tourism,guest_house,Smile Guesthouse,,,8.0632667,98.9182048,,http://www.smile-guesthouse.com,,,,info@smileguesthouse.com,,"13, ถนนคงคา, Krabi, 81000",,,,
2828528473,node,amenity,bar,Jungle Bar Krabi,,,8.0550523,98.916345,,,,,,,,,,,,
2828528474,node,tourism,hotel,Krabi City Seaview Hotel,,,8.058682,98.9199871,075-612321,,,,,,,,,,,
2828528475,node,tourism,hotel,Krabi River Hotel,,,8.0588268,98.920014,,,,,,,,,,,,
2828528477,node,tourism,hotel,ธาราปาร์ค วิว,Tharapark View Hotel,ธาราปาร์ค วิว,8.050247,98.9165441,+6675612170,,,,,,,,,,,
2829153066,node,tourism,hotel,River View Hotel,,โรงแรมริเวอร์ วิว,8.06543,98.9172088,,,,,,,,,,,,
2829153070,node,tourism,hotel,Vieng Thong Hotel,,,8.0646082,98.91742,,,,,,,,,,,,
2881830832,node,tourism,hotel,Run's Bed & Breakfast,,,8.1074367,98.927261,,,,,,,,,,,,
3202969574,node,tourism,hotel,Krabi Maritime Resort,,,8.0816256,98.9185511,,www.krabimaritime.com,,,,contact@krabimaritime.com,,,,,,
3203070545,node,tourism,attraction,สุสานหอย,Fossil Shell Beach,สุสานหอย,8.0226464,98.8852468,,,,,,,,,,,,
3305980578,node,tourism,hotel,APO Hotel,APO Hotel,โรงแรมอาโป,8.0658854,98.9171239,,,,,,,,,,,,
3332848701,node,tourism,hotel,Krabi Cozy Place,,,8.0609005,98.9159345,+6675630603,,,,,,,,,,,
3371480072,node,tourism,hotel,ตะวันหวาน โฮเต็ล,Tawan Warn Hotel,ตะวันหวาน โฮเต็ล,8.0657611,98.9171402,,,,,,,,,,,,
3374384331,node,tourism,hotel,Grand Mansion Hotel,,,8.0713319,98.9162949,,,,,,,,,,,,
3374384332,node,tourism,guest_house,Grandmom Place,,,8.0619419,98.9181245,,,,,,,,,,,,
3374384335,node,tourism,guest_house,U Residence,,,8.0620212,98.9181295,,,,,,,,,,,,
3393627333,node,tourism,hotel,Bai Fern Mansion,Bai Fern Mansion,ใบเฟิร์น แมนชั่น,8.0595412,98.9168498,,,,,,,,,,,,
3432521579,node,tourism,guest_house,Krabi City View,,,8.0624826,98.9168656,,,,,,,,,,,,
3432521585,node,amenity,public_building,สโมสรลูกเสือกระบี่,Krabi Scouts,สโมสรลูกเสือกระบี่,8.0621438,98.9161914,,,,,,,,,,,,
3432552022,node,tourism,guest_house,Baan To Guesthouse,,,8.0603342,98.9163063,,,,,,,,"22/12, ถนนเจ้าฟ้า",,,,
