osm_id,osm_type,category,subcategory,name,name_en,name_th,lat,lng,phone,website,facebook,instagram,line_id,email,opening_hours,address_full,stars,cuisine,wheelchair,operator
1312886930,node,amenity,cafe,คาเฟ่ อเมซอน,Café Amazon,คาเฟ่ อเมซอน,17.4593029,101.729528,,,,,,,,,,coffee_shop,,
1312886934,node,amenity,cafe,คาเฟ่ อเมซอน,Café Amazon,คาเฟ่ อเมซอน,17.5101616,101.7250096,,,,,,,,,,coffee_shop,,
1653930109,node,tourism,museum,,,,17.4847915,101.7304725,,,,,,,,,,,,
1653930111,node,tourism,information,,,,17.4847506,101.7304242,,,,,,,,,,,,
2674314687,node,amenity,bar,Loei Saloon,Saloon Loei,Loei Saloon,17.4885611,101.7263119,,,,,,,Mo-Su 10:00-00:00,16/8,,,,
2674319246,node,shop,coffee,Café Amazon,Café Amazon,คาเฟ่ อเมซอน,17.4870913,101.7269036,,,,,,,,,,coffee_shop,,PTT
3313995435,node,tourism,guest_house,The Stay Guest House,,,17.5035211,101.7319797,,https://thestayguesthouse.com/,,,,,,,,,,
3314010223,node,tourism,hotel,Loei Terrace,,,17.4831315,101.7201266,,,,,,,,,,,,
3314027224,node,tourism,hotel,Care U Residence,,,17.5334676,101.724363,,,,,,,,,,,,
3314044722,node,tourism,hotel,Villa De Loei,,,17.5131635,101.7200086,,,,,,,,,,,,
3314059795,node,tourism,hotel,Baiboon Grand Hotel,,โรงแรม ใบบุญ แกรนด์ ໂຮງແຮມໃບບຸນ ແກຣນດ໌,17.4693903,101.7325157,+66 42 833 533,,,,,,,111,,,,
3314070872,node,tourism,hotel,Baiboon Place Hotel & Convention Center,,,17.4850656,101.7261454,,,,,,,,,,,,
3314101169,node,tourism,hotel,Loei Village,,,17.4844362,101.7240426,,,,,,,,,,,,
3314116917,node,tourism,hotel,Na Loei Boutique Resort Hotel,,,17.5429348,101.7275348,,,,,,,,,,,,
3314132828,node,tourism,hotel,Sun Palace Hotel,,,17.4823486,101.7301044,,,,,,,,,,,,
4297244790,node,tourism,hotel,ชมจันทร์ลิฟวิ่ง,,,17.507477,101.7154187,042811905,,,,,,,"666หมู่5. ต. เมือง. อ. เมือง. จ. เลย. 42000
",,,,
4432071789,node,amenity,cafe,คาเฟ่ อเมซอน,Café Amazon,คาเฟ่ อเมซอน,17.5219834,101.7245194,,,,,,,Mo-Su 06:30-19:00,,,coffee_shop,,
4470878093,node,tourism,hotel,,,,17.4768613,101.7233208,,,,,,,,,,,,
4529825489,node,amenity,cafe,,Café Mona,,17.4781409,101.7250695,,,,,,,,,,coffee_shop,,
4539695790,node,amenity,restaurant,,Shabu Indy Buffet,,17.48708,101.7250842,,,,,,,,,,,,
4539698390,node,amenity,restaurant,,Room 32,,17.4872132,101.7245336,042814656,,,,,,,,,international,,
4539892089,node,amenity,restaurant,,Ban Rommai,,17.487373,101.7263848,,,,,,,Mo-Su 11:00-00:00,,,thai,,
4541067800,node,amenity,restaurant,,,,17.4906862,101.7235813,,,,,,,,,,,,
4541067801,node,amenity,restaurant,,,,17.4905506,101.7239005,,,,,,,,,,,,
4541067802,node,amenity,restaurant,,,,17.4908499,101.7237368,,,,,,,,,,,,
4541067803,node,amenity,restaurant,,,,17.4908345,101.7239943,,,,,,,,,,,,
4541067804,node,amenity,restaurant,,,,17.4904662,101.7239139,,,,,,,,,,,,
4552363092,node,tourism,guest_house,Sugar Guesthouse,,,17.4944838,101.7320372,042812982,,,,,,Mo-Su 09:00-22:00,,,,,
4566069192,node,tourism,guest_house,,Sugar Guest house,,17.4946108,101.732055,,,,,,,,,,,,
4566756040,node,amenity,marketplace,Night market,,,17.4903284,101.7322345,,,,,,,,,,,,
4566763131,node,amenity,restaurant,Moomarui,,,17.487107,101.7286885,081-5454587,,,,,,17:00-03:00,,,thai,,
4568074358,node,amenity,marketplace,Morning Market,,,17.4911179,101.7336357,,,,,,,05:00-13:00,,,,,
4568076359,node,amenity,restaurant,Noodle Soup,,,17.4833698,101.7264139,,,,,,,,,,,,
4569655424,node,amenity,restaurant,Wrang Yhan,,,17.4862172,101.7278844,,,,,,,,,,thai,,
4592083989,node,amenity,restaurant,ครัวยูซุป อาหารไทย-มุสลิม ຄົວຍູຊຸບ ອາຫານໄທ-ມຸດສະລິມ,Yusuf Restaurant (Thai-Muslim Foods),ครัวยูซุป อาหารไทย-มุสลิม ຄົວຍູຊຸບ ອາຫານໄທ-ມຸດສະລິມ,17.4824834,101.7295866,0868274705,,,,,,,,,,,
4647473192,node,amenity,restaurant,สลัดฟอร์ยู,Salad for U,,17.482867,101.7215368,0918603737,,,,,,Mo-Sa 11:30-20:30,,,diner,,
4867846531,node,amenity,cafe,Phuloei,Phuloei Coffee,,17.4902413,101.7284419,,,,,,,,,,cake;coffee_shop,,
4869720522,node,amenity,restaurant,,Lanchang Restaurant,,17.4921421,101.6970523,,,,,,,,,,thai,,
5073565602,node,amenity,marketplace,Walking street market,,,17.4873964,101.7306835,,,,,,,Fr-Su 18:00-21:30,,,,,
