osm_id,osm_type,category,subcategory,name,name_en,name_th,lat,lng,phone,website,facebook,instagram,line_id,email,opening_hours,address_full,stars,cuisine,wheelchair,operator
259720002,node,tourism,hotel,Thepthani,,,14.8009788,100.6224885,,,,,,,,,,,,
423749888,node,amenity,restaurant,,,,14.8104931,100.5688326,,,,,,,,,,,,
423749890,node,amenity,cafe,,,,14.8105252,100.5683833,,,,,,,,,,,,
423749891,node,tourism,hotel,,,,14.8106831,100.5687159,,,,,,,,,,,,
493524936,node,amenity,restaurant,,,,14.7906697,100.6010829,,,,,,,,,,thai,,
1540338524,node,tourism,guest_house,Noom Guesthouse,,,14.8003768,100.6140212,+66 36 427 693,https://noomguesthouse.com/,,,,,,,,,,
2066042905,node,amenity,cafe,Noom's Bar,,,14.8003809,100.6140569,,,,,,,,,,,,
2066042907,node,amenity,cafe,Coffee House,,,14.8010071,100.6138255,,,,,,,,,,,,
2066042909,node,tourism,museum,Hor Sophonsilp Museum,,,14.798588,100.6084715,,,,,,,,,,,,
2066042910,node,tourism,hotel,Lopburi Asia Hotel,,,14.8006677,100.6120588,,,,,,,,,,,,
2066042911,node,tourism,hotel,Nett Hotel,,,14.8007653,100.612791,,,,,,,,,,,,
2066042912,node,tourism,guest_house,Noom Guesthouse II,,,14.8007833,100.6129422,,,,,,,,,,,,
2066043054,node,amenity,pub,Matini,,,14.8005693,100.613804,,,,,,,,,,thai;burger,,
3457272700,node,tourism,guest_house,Matini,,,14.8005992,100.6137779,,,,,,,,,,,,
3942688410,node,amenity,bar,Come on Bar,,,14.7994436,100.6140775,,,,,,,,,,,,
3942688411,node,amenity,cafe,,Guardian Angel,ซูโฮ,14.7983515,100.609555,,,,,,,,,,,,
3942691996,node,tourism,guest_house,The Little Lopburi Village,,,14.7961155,100.6078649,,,,,,,,,,,,
3942692027,node,amenity,cafe,,,,14.7937063,100.6106005,,,,,,,,,,,,
3942692175,node,tourism,guest_house,Ban Suan Rimnam Homestay,,,14.7949984,100.6072056,+66895241525,http://www.facebook.com/bansuanrimnamhomestay,http://www.facebook.com/bansuanrimnamhomestay,,,,,,,,,
4200399141,node,tourism,hotel,Windsor Resort,,,14.7928829,100.6174118,,,,,,,,,,,,
4235073889,node,amenity,cinema,Major Cineplex,,,14.793488,100.672115,,,,,,,,,,,,
4235080454,node,tourism,motel,,,,14.7891779,100.6803896,,,,,,,,,,,,
4235112643,node,amenity,restaurant,Dome Restaurant,,,14.7875028,100.6785943,,,,,,,,,,thai,,
4235124911,node,amenity,cafe,Hizo Cafe,,,14.7915857,100.6787599,,,,,,,,,,,,
4235124912,node,amenity,restaurant,Nok Eyan Restaurant,,,14.7916664,100.678491,,,,,,,,,,thai,,
4235345580,node,amenity,pub,Baan Sabai Bistro,,,14.7992969,100.6128828,,,,,,,"PH,Mo-Su 10:00-20:00",,,,,
4235345581,node,amenity,pub,Budsi's Place,,,14.8001054,100.61401,,,,,,,,,,,,
4235345582,node,amenity,fast_food,KFC,KFC,เค เอฟ ซี,14.8010493,100.6126173,1150,https://www.kfc.co.th/,,,,,,,,chicken,,Kentucky Fried Chicken
4235345583,node,amenity,cafe,The Mellow Cafe,,,14.8007222,100.6138447,,,,,,,,,,,,
4235378463,node,amenity,cafe,Jay Coffee,,,14.7908562,100.6743422,,,,,,,,,,,,
4235378466,node,tourism,motel,MDR Hotel,,,14.7861039,100.679834,,,,,,,,,,,,
4235378468,node,amenity,pub,Panom Wine & Bar Restaurant,,,14.7993751,100.6487171,,,,,,,,,,,,
4235378472,node,amenity,pub,Tasala Bar & Bistro,,,14.7870517,100.6792707,,,,,,,,,,,,
4236472479,node,amenity,bar,The Bank,,,14.7968738,100.6346341,,,,,,,,,,,,
4236478999,node,amenity,pub,Chill Out Bar & Restaurant,,,14.7886491,100.6349294,,,,,,,,,,,,
4236479000,node,amenity,bar,Last Night,,,14.788688,100.6352379,,,,,,,,,,,,
4236497449,node,amenity,marketplace,,,,14.7844018,100.6778325,,,,,,,Th-Fr,,,,,
4237294290,node,amenity,cafe,Cha Payom,,,14.8005396,100.6136993,,,,,,,,,,,,
4556609190,node,amenity,restaurant,Muslim Halal Restaurant,,Muslim Halal Restaurant,14.7995765,100.6159944,,,,,,,,,,,,
4791269122,node,tourism,guest_house,Kannaree Massage,Pee Guesthouse,,14.8009858,100.6166017,0861642184,http://www.lopburimassage.com,,,,,,Soi Phromachan,,,,
5012584021,node,tourism,hotel,,Sri Indra Hotel,,14.8020035,100.6143015,,,,,,,,,,,,
5023366821,node,amenity,marketplace,,Night Market,,14.8012874,100.6325266,,,,,,,,,,,,
