osm_id,osm_type,category,subcategory,name,name_en,name_th,lat,lng,phone,website,facebook,instagram,line_id,email,opening_hours,address_full,stars,cuisine,wheelchair,operator
1586070972,node,tourism,motel,,Benjatara Resort,,8.4042514,99.9626931,,,,,,,,,,,,
1586071493,node,tourism,information,,,,8.4362985,99.9627853,,,,,,,,,,,,
1586071724,node,tourism,museum,พิพิธภัณฑสถานแห่งชาติ นครศรีธรรมราช,National Museum,,8.4004304,99.9695593,,,,,,,,,,,,
1586071740,node,tourism,museum,พิพิธภัณฑ์หนังตะลุง สุชาติ ทรัพย์สิน,Suchart Subsin's Shadow Puppet Museum,พิพิธภัณฑ์หนังตะลุง สุชาติ ทรัพย์สิน,8.4144351,99.9687551,,,,,,,,,,,,
1586071745,node,tourism,attraction,วัดพระมหาธาตุ วรมหาวิหาร,Wat Phra Mahathat Voramahavihan,วัดพระมหาธาตุ วรมหาวิหาร,8.4110907,99.9664341,,,,,,,,,,,,
1586071756,node,tourism,attraction,,Suan Phra Ngoen,,8.4359683,99.9632994,,,,,,,,,,,,
1586071760,node,tourism,attraction,ศาลหลักเมือง,City Shrine,,8.4303819,99.962178,,,,,,,,,,,,
1586071764,node,tourism,attraction,สวนสาธารณะศรีธรรมาโศกราช,King Sri Dhammasokaraja Monument,สวนสาธารณะศรีธรรมาโศกราช,8.427288,99.9626375,,,,,,,,,,,,
1586071772,node,tourism,attraction,หอพระนารายณ์,Ho Phra Narai,,8.424336,99.9643086,,,,,,,,,,,,
1586071777,node,tourism,attraction,หอพระอิศวร,Ho Phra Isuan,,8.4242893,99.9638358,,,,,,,,,,,,
1586071789,node,tourism,hotel,โรงแรมเมืองลิกอร์,Ligor City Hotel,,8.4420471,99.964845,,http://www.ligorcityhotel.com/,,,,,,,,,,
2408723635,node,amenity,restaurant,ครัวนายหนัง​,,,8.4216448,99.9731398,,,,,,,,,,,,
2408728842,node,amenity,marketplace,Bovorn Bazar,,,8.4409072,99.9668741,,,,,,,,,,,,
2408851431,node,amenity,restaurant,ร้านอาหาร​ บังบ่าว,Bang Bao,,8.440697,99.9690809,,,,,,,15:00-23:30,,,regional;thai,,
2412771412,node,tourism,hotel,Grand Park Hotel,,,8.4392051,99.9644953,+66 75 317666,,,,,,,,,,,
3277485273,node,tourism,hotel,Montien Hotel,,,8.439035,99.9600965,,,,,,,,,,,,
3287232384,node,amenity,fast_food,,Street stalls,,8.4301139,99.9620585,,,,,,,,,,,,
3959993843,node,tourism,hotel,Hop Inn Nakhon Si Thammarat,,,8.4426343,99.9707167,,https://hopinnhotel.com/,,,,,,,,,,
4144256892,node,tourism,hotel,Nakhon Garden Inn,,,8.440577,99.9649381,,,,,,,,,,,,
4144515190,node,amenity,bar,Please Bar,,,8.4219147,99.9721159,,,,,,,,,,,,
4237233990,node,amenity,restaurant,Suktawee,,,8.443644,99.961567,0959542654,,,,,,Mo-Sa 10:30-21:00,"1656, Ratchadamnuen, 80000",,chinese,,
4237279390,node,shop,beverages,Suktawee,,,8.4436706,99.9615301,0959542654,,,,,,Mo-Sa 10:30-21:00,"1656, Ratchadamnuen, 80000",,,,
4285933891,node,amenity,restaurant,สุขทวีโภชนา,Suktawee restaurant,สุขทวีโภชนา,8.4436374,99.96152,0959542654,https://www.facebook.com/SuktaweeNST,https://www.facebook.com/SuktaweeNST,,,,Mo-Sa 10:30-21:00,"1656, Ratchadamnuen, 80000",,asian;chinese,,
4315381189,node,tourism,information,Tourism Authority of Thailand,,,8.4299107,99.9615471,,,,,,,,,,,,
4318963691,node,amenity,fast_food,McDonald's,,,8.4272042,99.9723819,,,,,,,24/7,,,burger,,
4320666689,node,amenity,fast_food,Jae Fon Padthai,,,8.4411368,99.9597703,,,,,,,Mo-Su 10:00-16:00,,,,,
4698422191,node,tourism,attraction,,Old City Wall,,8.4277411,99.9642734,,,,,,,,,,,,
4698422192,node,amenity,restaurant,,Muslim Restaurant,,8.4326976,99.9622334,,,,,,,,,,,,
4698433394,node,tourism,attraction,,Old City Wall,,8.4273311,99.9607681,,,,,,,,,,,,
4698447990,node,tourism,attraction,,Old City Wall,,8.4274225,99.962375,,,,,,,,,,,,
4698688493,node,tourism,attraction,,Wat chedi yak stupa,,8.4364934,99.9625961,,,,,,,,,,,,
4698688494,node,amenity,restaurant,,Thai Food,,8.4377874,99.961598,,,,,,,,,,,,
4698688495,node,tourism,attraction,,Chedi Yak ruins,,8.4359355,99.9627456,,,,,,,,,,,,
4698743792,node,tourism,hotel,,Bualung hotel,,8.4376137,99.961275,,,,,,,,,,,,
4698780990,node,tourism,attraction,,Shrine on a hill,,8.4303282,99.961725,,,,,,,,,,,,
4701346989,node,amenity,fast_food,,Street food (seafood),,8.4534426,99.9594732,,,,,,,,,,,,
4796326922,node,tourism,hotel,,The terrace hotel,,8.4625677,99.9650047,,,,,,,,,,,,
4796331022,node,tourism,hotel,,Kiatnakhon hotel,,8.4049456,99.9759788,,,,,,,,,,,,400 baths
4851295228,node,amenity,restaurant,VR 604 Bo Ang,VR 604 Bo Ang Rd,VR 604,8.4383115,99.9672857,+66 836904950,,,,,,Mo-Sa 07:00-15:00,,,,,
4937054121,node,amenity,restaurant,,CHAURUE RESTAURANT,,8.4227644,99.9619102,,,,,,,Mo-Su 03:00-21:30,,,,,
5073559023,node,amenity,restaurant,VR 604 BKT,,VR 604,8.4209243,99.9646876,+66 874694584,,,,,,Mo-Fr 09:00-18:00,,,,,
5073617223,node,amenity,fast_food,604 Bakuteh,,604 Bakuteh,8.420432,99.9643701,,,,,,,,,,,,
5130510026,node,tourism,hotel,นครรีสอร์ท,nakhon resort,,8.4448818,99.987894,075319391,,,,,,,"184, ปากนคร, 80000",,,,
5340643223,node,tourism,hotel,,Thai Hotel,,8.4390693,99.9618363,,,,,,,,,,,,
5382680947,node,tourism,hotel,Teeny house,,,8.4414719,99.9660276,,,,,,,,,,,,
5398030959,node,tourism,motel,Phi Resort,,,8.4386199,99.9659775,,,,,,,,,,,,
5421731222,node,amenity,restaurant,,Street Food,,8.4395588,99.9609813,,,,,,,,,,,,
5463610221,node,shop,massage,,,,8.416155,99.9632759,,,,,,,,,,,,
