osm_id,osm_type,category,subcategory,name,name_en,name_th,lat,lng,phone,website,facebook,instagram,line_id,email,opening_hours,address_full,stars,cuisine,wheelchair,operator
1227746357,node,tourism,guest_house,Amazing Guest House,,,18.791717,100.784175,+66 54 710893;+66 80 4493705,https://www.amazing-guesthouse-nan.com/,,,,,,,,,,
1299305704,node,tourism,motel,เขาน้อยรีสอร์ท,Khao Noi Resort,,18.7753697,100.7484831,+66 86 9244930,,,,,,,,,,,
2536582474,node,tourism,hotel,Nan Sabaidee Hotel,Nan Sabaidee Hotel,โรงแรม น่านสะบายดี,18.7737036,100.7657417,,,,,,,,,,,,
2536663210,node,amenity,restaurant,Hot Bread,,,18.7752936,100.769646,,,,,,,,,,,,
2536764210,node,tourism,information,ศูนย์บริการนักท่องเที่ยว,Tourist Information Center,ศูนย์บริการนักท่องเที่ยว,18.7749806,100.7722571,,,,,,,,,,,,
2537988110,node,amenity,restaurant,Huen Horn Café & Restaurant,,,18.7754297,100.7699254,,,,,,,,,,,,
2537988111,node,amenity,restaurant,Khao Soi Ton Nam,Khao Soi Ton Nam,ข้าวซอยต้นน้ำ,18.7752932,100.7696902,,,,,,,"Mo-Su,PH 07:00-17:00",,,regional;thai,,
2537988128,node,amenity,cafe,DéCafe,,,18.7752836,100.7701316,,,,,,,,,,coffee_shop,,
2538033522,node,amenity,cafe,Cafe de Zeven,,,18.7776897,100.7698444,,,,,,,,,,,,
2538033526,node,amenity,cafe,Phuphayak Coffee,Chorcha,ชอชา,18.7779662,100.7715198,,,,,,,,,,coffee_shop,,
2538033533,node,tourism,hotel,Nan Guesthouse,Nan Guesthouse,,18.7776828,100.7696459,+66 81 2888484;+66 54 771849,http://www.nanguesthouse.net,,,,,,,,,,
2538033542,node,amenity,cafe,Panggi,,,18.7778331,100.7715173,,,,,,,,,,,,
2538033585,node,amenity,cafe,,,,18.7768248,100.7694852,,,,,,,,,,,,
2538033603,node,amenity,cafe,,,,18.7768961,100.7707495,,,,,,,,,,,,
2538116702,node,amenity,restaurant,,,,18.7767563,100.7756585,,,,,,,,,,,,
2538116733,node,amenity,cafe,,,,18.7774248,100.7746906,,,,,,,,,,,,
2538179534,node,amenity,cafe,Coffee Sound,,,18.7786143,100.7767514,,,,,,,,,,,,
2538179620,node,amenity,restaurant,ก๋วยเตี๋ยวกระดูกหมูไร้เทียมทาน,,,18.7787749,100.776813,,,,,,,,,,,,
2538262968,node,amenity,cafe,,,,18.7785381,100.7794592,,,,,,,,,,,,
2538262973,node,amenity,restaurant,,,,18.7788316,100.7794685,,,,,,,,,,,,
2538263005,node,amenity,internet_cafe,,,,18.7799777,100.7779295,,,,,,,,,,,,
2538263016,node,amenity,internet_cafe,,,,18.7808791,100.7812786,,,,,,,,,,,,
2538263018,node,amenity,internet_cafe,,,,18.7809036,100.7810923,,,,,,,,,,,,
2538263020,node,amenity,restaurant,,,,18.7810421,100.7791771,,,,,,,,,,,,
2538263038,node,amenity,restaurant,Sweet Talk Bistro,,,18.7806774,100.7783686,,,,,,,,,,,,
2538263039,node,amenity,cafe,ปิง...ปิง,,,18.7797807,100.7813439,,,,,,,,,,,,
2538263045,node,amenity,restaurant,แมกไม้ Pub & Restaurant,,,18.7808215,100.7785819,,,,,,,,,,,,
2539837063,node,amenity,cafe,Nan Coffee Bean,,,18.7749039,100.7721466,,,,,,,,,,,,
2539837067,node,amenity,cafe,Phu Coffee,,,18.7750419,100.7722569,,,,,,,,,,,,
2539837098,node,amenity,cafe,,,,18.7744443,100.7754274,,,,,,,,,,,,
2539837108,node,amenity,restaurant,,,,18.7746975,100.7753272,,,,,,,,,,,,
