osm_id,osm_type,category,subcategory,name,name_en,name_th,lat,lng,phone,website,facebook,instagram,line_id,email,opening_hours,address_full,stars,cuisine,wheelchair,operator
485745003,node,amenity,fast_food,Hooder,,,17.946094,102.6241707,,,,,,,,,,,,
493000575,node,amenity,restaurant,La Scala,La Scala,,17.9445182,102.619146,,,,,,,,,,italian,,
512440197,node,amenity,restaurant,Buffet Donechanh,Buffet Donechanh,,17.9493379,102.6191673,,,,,,,,,,asian,,
512440203,node,amenity,restaurant,Rainbow,Rainbow,,17.9471285,102.6197815,,,,,,,,,,lao,,
512440209,node,amenity,cafe,Eat Me Cafe,,,17.9446493,102.6192407,+856 20 55851115,,,,,,"Mo-Fr, Su 10:00-20:30",,,,,
512440213,node,amenity,restaurant,Monkey House,Monkey House,,17.9410655,102.6180913,+856 21 312930,,,,,,,,,asian,,
513607012,node,amenity,restaurant,Liao-Ning Dumpling 2,Liao-Ning Dumpling 2,,17.9381247,102.6267012,,,,,,,,,,chinese,,
513607014,node,amenity,restaurant,Ping Pet Sekaman,Ping Pet Sekaman,,17.9440608,102.6264281,,,,,,,,,,lao,,
513607016,node,amenity,restaurant,Jenny,Jenny,,17.9455909,102.6244617,,,,,,,,,,lao,,
513607018,node,amenity,cafe,Love Life,,,17.9471399,102.6242232,,,,,,,,,,ice_cream,,
513632454,node,tourism,guest_house,Annivong 1,Annivong 1,,17.9485445,102.6198041,,,,,,,,,,,,
513638535,node,amenity,restaurant,Restaurant Km 4,Restaurant Km 4,,17.9328818,102.61624,,,,,,,,,,asian,,
513638536,node,amenity,restaurant,Mekong Restaurant,Mekong Restaurant,,17.9320978,102.6162572,,,,,,,,,,asian,,
540097633,node,amenity,restaurant,ຮ້ານອາຫານ ໂຕ່ໂນ້,Tono,,17.9387897,102.6333676,,,,,,,,,,lao,,
540225339,node,amenity,restaurant,ປີ່ງຫມູຈັນມາລີ,Chanmaly BBQ pork,,17.9443721,102.6306387,,,,,,,,,,lao,,
548202693,node,shop,massage,ນວດແຜນໂບລານ ໂສກປ່າາຫລວງ,Sokpaluang massage,,17.9426727,102.6287872,,,,,,,,,,,,
