osm_id,osm_type,category,subcategory,name,name_en,name_th,lat,lng,phone,website,facebook,instagram,line_id,email,opening_hours,address_full,stars,cuisine,wheelchair,operator
506429595,node,tourism,guest_house,Pai Phu Fah,,,19.3531516,98.4494879,,,,,,,,,,,,
506430322,node,amenity,nightclub,Be Bop,,,19.3551526,98.4354686,,,,,,,,,,,,
506430323,node,amenity,restaurant,Nong Beer,Nong Beer,,19.3608062,98.4398856,,,,,,,,,,thai,,
506430356,node,tourism,guest_house,Pai Herbs Resort,,,19.3632495,98.4283174,,,,,,,,,,,,
820323509,node,tourism,guest_house,Palm House,,,19.3588383,98.4414273,+6653699074,,,,,,,,,,,
820323529,node,tourism,guest_house,Ton Son Guest House,,,19.36053,98.44214,,,,,,,,,,,,
820323540,node,amenity,restaurant,,Nu Na,,19.3565,98.43686,,,,,,,,,,,,
820323602,node,tourism,guest_house,Phai Wa Le,,,19.37881,98.42845,,,,,,,,,,,,
820323631,node,amenity,restaurant,Sirinya,,,19.35551,98.43832,,,,,,,,,,,,
820323647,node,amenity,restaurant,โรงคั่วกาแฟโรสบาร์น โรงคั่วกาแฟ,RoastBarn Cafe & Roastery,,19.35838,98.43686,+66 85 033 4812,,,,,,,58130,,coffee_shop,,
820323664,node,amenity,restaurant,Lung Cha,,,19.38044,98.42781,,,,,,,,,,,,
820323695,node,tourism,guest_house,Belle Villa Resort & Restaurant,,,19.36898,98.43859,,,,,,,,,,,,
820323725,node,tourism,guest_house,Pai Hillside Resort,,,19.3907482,98.4233864,,,,,,,,,,,,
820323743,node,amenity,restaurant,Khrua Cha San,,,19.38555,98.42499,,,,,,,,,,,,
820323820,node,tourism,guest_house,Chan Guest House,,ชานเกสเฮาส์,19.35512,98.43853,,,,,,,,,,,,
820323874,node,tourism,guest_house,View Pai Hotel,,,19.356,98.43579,,,,,,,,,,,,
820323963,node,tourism,guest_house,At Ing Pai Resort,,,19.38752,98.42462,,,,,,,,,,,,
820323990,node,amenity,restaurant,,Ban Pai,,19.3596976,98.441483,,,,,,,,,,,,
820324020,node,amenity,restaurant,Shark Riverside,,,19.38817,98.43561,,,,,,,,,,,,
820324051,node,tourism,guest_house,Cabana,,,19.38276,98.43098,,,,,,,,,,,,
952076140,node,tourism,hotel,Abodaya,,,19.3593221,98.4422515,,,,,,,,,,,,
1188074508,node,tourism,guest_house,Pai Country,,,19.3597615,98.4413319,,,,,,,,,,,,
1250836227,node,tourism,hostel,Darling View Point Guesthouse,,,19.3605867,98.4487094,+66895596267,http://www.darlingthailand.com/,,,,darlingthailand@hotmail.com,,,,,no,Parichat Hampel
1532341167,node,tourism,guest_house,Happy House,,,19.3563146,98.4377739,,,,,,,,"227, Pai",,,,
2110316855,node,tourism,guest_house,Giant,,,19.3546237,98.4427432,,,,,,,,,,,,
2110584936,node,amenity,bar,Witching Well,,,19.3587415,98.4447108,,,,,,,,,,burger;international;breakfast;crepe,,
2122151179,node,tourism,attraction,Pam Bok Waterfall 盼布瀑布,Pembok Waterfall,น้ำตกแพมบก,19.3208456,98.4039468,,,,,,,,,,,,
2147398105,node,tourism,hotel,Unicorn,,,19.3572795,98.4425484,+66895596267,http://www.darlingpai.com/,,,,darlingthailand@hotmail.com,,,,,no,Parichat Hampel
2148903197,node,tourism,guest_house,Diamond Village Pai,D2 Pai / Diamond Village,,19.3540484,98.4298289,,,,,,,,,,,,
2148903198,node,tourism,guest_house,Mountain View,,,19.3528273,98.4302596,,,,,,,,,,,,
2482066611,node,tourism,hotel,Phu Pai Art Resort,,,19.394842,98.431371,+6653065111,http://www.phupai.com/,,,,info@phupai.com,,,,,,
2531911227,node,amenity,bar,,Hyenas Bar & Restaurant,,19.3806407,98.4282952,,,,,,,,,,,,
2531911230,node,tourism,guest_house,,Pai Cabana,,19.3828221,98.4253873,,,,,,,,,,,,
