osm_id,osm_type,category,subcategory,name,name_en,name_th,lat,lng,phone,website,facebook,instagram,line_id,email,opening_hours,address_full,stars,cuisine,wheelchair,operator
1137537795,node,tourism,guest_house,Rabieng Restaurant and Guesthouse,,,13.108562,99.9476525,+66 32425707,,,,,,"Mo-Su,PH 10:00-24:00",,,,,
1215081295,node,amenity,restaurant,,,,13.0493072,99.9365159,,,,,,,,,,,,
1516170647,node,amenity,cafe,Kimochi,,,13.1027486,99.9388528,,,,,,,,,,,,
1516170769,node,amenity,fast_food,KFC,KFC,เค เอฟ ซี,13.1028916,99.9388557,1150,https://www.kfc.co.th/,,,,,,,,chicken,,Kentucky Fried Chicken
1516170969,node,amenity,cafe,Hawaii Ice,,,13.1027993,99.9388462,,,,,,,,,,,,
1774668066,node,tourism,hotel,,,,13.1079119,99.9339889,,,,,,,,,,,,
2043660381,node,amenity,cafe,,,,13.1835958,99.9495107,,,,,,,,,,,,
2131751315,node,tourism,hotel,,,,13.0222893,100.0799077,,,,,,,,,,,,
2406173555,node,tourism,viewpoint,,,,13.1080766,99.9369785,,,,,,,,,,,,
2406173559,node,tourism,viewpoint,,,,13.1081757,99.9394975,,,,,,,,,,,,
2406173574,node,tourism,viewpoint,,,,13.1083418,99.9363661,,,,,,,,,,,,
2406197671,node,tourism,viewpoint,,,,13.110548,99.9364775,,,,,,,,,,,,
2406197690,node,tourism,viewpoint,,,,13.1112853,99.9380206,,,,,,,,,,,,
2508265168,node,tourism,hotel,บ้านชมเขา,,,13.1088556,99.9482886,,,,,,,,,,,,
2510353912,node,amenity,cafe,Cable Cafe,,,13.1088413,99.9350905,,,,,,,,,,,,
2510353921,node,tourism,hotel,เขาวังโฮเต็ล,,,13.1109149,99.9399738,,,,,,,,,,,,
2510354377,node,amenity,cafe,,,,13.10383,99.9402289,,,,,,,,,,,,
2510354410,node,amenity,restaurant,,,,13.1043177,99.9415356,,,,,,,,,,,,
2510354520,node,amenity,restaurant,,,,13.1075065,99.9433438,,,,,,,,,,,,
2510354522,node,amenity,restaurant,,,,13.107588,99.9436717,,,,,,,,,,,,
2510354527,node,amenity,cafe,,,,13.1076417,99.9431011,,,,,,,,,,,,
2510354587,node,amenity,cafe,,,,13.1110269,99.9392928,,,,,,,,,,,,
2510354588,node,amenity,restaurant,,,,13.1110448,99.9394164,,,,,,,,,,,,
2510354589,node,amenity,restaurant,,,,13.1110573,99.9397691,,,,,,,,,,,,
2510354590,node,amenity,restaurant,,,,13.1110598,99.9395923,,,,,,,,,,,,
2510354599,node,amenity,restaurant,,,,13.1116683,99.9403088,,,,,,,,,,,,
2510354600,node,amenity,restaurant,,,,13.1118278,99.9402989,,,,,,,,,,,,
2510354604,node,amenity,restaurant,,,,13.1119258,99.9402851,,,,,,,,,,,,
2520193999,node,amenity,cafe,บ้านเมืองเพชร,,,13.1133768,99.9398982,,,,,,,,,,,,
2520194000,node,amenity,cafe,บ้านหน้าเขาวัง Coffee,Baannakhaowang Coffee,บ้านหน้าเขาวัง Coffee,13.1110388,99.9402031,,,,,,,,,,,,
2520194001,node,amenity,cafe,Coffee & Gallery,,,13.1110625,99.940954,,,,,,,,,,,,
2520194002,node,amenity,restaurant,Jim Cuisine,,,13.11106,99.9410527,,,,,,,,,,,,
2520194104,node,amenity,restaurant,,,,13.1110567,99.9407514,,,,,,,,,,,,
2520194106,node,amenity,cafe,,,,13.11106,99.9411443,,,,,,,,,,,,
2520194128,node,amenity,restaurant,,,,13.1128222,99.9413428,,,,,,,,,,,,
2520194132,node,amenity,bar,,,,13.1132268,99.9434906,,,,,,,,,,,,
2520194133,node,amenity,restaurant,,,,13.1135834,99.9434906,,,,,,,,,,,,
2520194135,node,amenity,restaurant,,,,13.1137339,99.9434906,,,,,,,,,,,,
2520194168,node,amenity,restaurant,ครัวไทย,,,13.1111061,99.9419781,,,,,,,,,,,,
2520194170,node,amenity,restaurant,บ้านชมวัง,,,13.1131999,99.9399745,,,,,,,Mo-Su 11:00-23:30,,,,,
2520194171,node,amenity,restaurant,หม่ำ หม่ำ,Mamm Mamm,,13.1132817,99.9413051,,,,,,,6pm - late,,,regional,,
2520619191,node,amenity,restaurant,,,,13.10998,99.9469268,,,,,,,,,,,,
2520619197,node,amenity,restaurant,ก๋วยเตี๋ยวเนื้อเจ๊กเม้ง,,,13.1102346,99.9471721,,,,,,,,,,,,
2520619201,node,amenity,restaurant,,,,13.1102732,99.9469182,,,,,,,,,,,,
2520626283,node,tourism,guest_house,เจ.เจ. Home Stay,JJ Home Stay,,13.1087283,99.9473199,,,,,,,,,,,,
2520626290,node,tourism,guest_house,Sabai Dee Resort,,,13.1088772,99.9475439,,,,,,,,,,,,
2520626301,node,amenity,restaurant,,,,13.1081949,99.9468545,,,,,,,,,,,,
2520626335,node,amenity,restaurant,,,,13.109257,99.9474177,,,,,,,,,,,,
2520626355,node,tourism,guest_house,บ้านเชิงสะพาน,,,13.1087718,99.9474994,,,,,,,,,,,,
2520626361,node,amenity,bar,เรา,,,13.1087216,99.9471456,,,,,,,,,,,,
2520631584,node,amenity,restaurant,,,,13.106026,99.9475273,,,,,,,,,,,,
2520631592,node,amenity,restaurant,,,,13.1063072,99.947274,,,,,,,,,,,,
2520631594,node,amenity,restaurant,,,,13.1064095,99.9472568,,,,,,,,,,,,
2520631596,node,amenity,restaurant,,,,13.1064971,99.9473983,,,,,,,,,,,,
2520631597,node,amenity,restaurant,,,,13.1065827,99.9472097,,,,,,,,,,,,
2520631598,node,amenity,restaurant,,,,13.1066411,99.9471968,,,,,,,,,,,,
2520634837,node,amenity,restaurant,,,,13.1049165,99.9459956,,,,,,,,,,,,
2520634839,node,amenity,restaurant,,,,13.104952,99.9458285,,,,,,,,,,,,
2520634842,node,amenity,restaurant,,,,13.1050313,99.9462592,,,,,,,,,,,,
2520635679,node,amenity,cafe,,,,13.1027389,99.949054,,,,,,,,,,,,
2520635680,node,amenity,cafe,,,,13.1028954,99.9490388,,,,,,,,,,,,
2520635683,node,amenity,restaurant,,,,13.1031026,99.9494653,,,,,,,,,,,,
2520635685,node,amenity,cafe,,,,13.1032884,99.9491504,,,,,,,,,,,,
2520658722,node,amenity,restaurant,,,,13.1045741,99.9520216,,,,,,,,,,,,
2520658732,node,amenity,restaurant,,,,13.1058129,99.9499377,,,,,,,,,,,,
2520658733,node,amenity,restaurant,,,,13.1058174,99.9502665,,,,,,,,,,,,
2520658751,node,amenity,cafe,,,,13.1088129,99.9488404,,,,,,,,,,,,
2520658756,node,amenity,restaurant,,,,13.1090657,99.9508861,,,,,,,,,,,,
3800693468,node,amenity,restaurant,มอนดี,,,13.1041248,99.9480793,,,,,,,,,,,,
4006097309,node,tourism,guest_house,2N Guesthouse,,,13.1201924,99.9506512,,,,,,,,,,,,
4081097697,node,amenity,cafe,Banlaem,,,13.1906403,99.9975535,,,,,,,,,,,,
4192542690,node,tourism,guest_house,บ้านตาถมกะยายล้วน,,,13.1596744,99.9500994,,,,,,,,,,,,
4231094689,node,tourism,viewpoint,,,,13.1064502,99.9292326,,,,,,,,,,,,
4281407189,node,amenity,cafe,Café de Pu,,,13.1137362,99.9380176,,,,,,,,ถนนคีรีรัถยา,,,,
4313204311,node,amenity,restaurant,Rabieng Rim Nam,,,13.1086055,99.947724,,,,,,,"Mo-Su,PH 10:00-24:00",,,thai,,
4333311489,node,tourism,guest_house,White monkey,,,13.107747,99.9474598,,,,,,,,,,,,
4401223294,node,amenity,restaurant,พวงเพชร,,,13.1124334,99.9329072,,,,,,,,,,,,
4412527089,node,amenity,cafe,PTT station,Cafe Amazon,,13.0698711,99.9748795,,,,,,,,,,,,
4413174791,node,tourism,guest_house,ฤทธิมาอพาทเม้นท์,,ฤทธิมาอพาทเม้นท์,13.0712297,99.9743552,,,,,,,,,,,,
4429378123,node,amenity,fast_food,KFC,,,13.0785821,99.948082,,,,,,,,,,chicken,,
4429378124,node,amenity,restaurant,MK Restaurants,,,13.0787023,99.9480069,,,,,,,,,,,,
4429378127,node,amenity,restaurant,S&P,,,13.0787754,99.9479452,,,,,,,,,,,,
4429378129,node,amenity,cafe,Swensen's,,,13.0788852,99.9479157,,,,,,,,,,ice_cream,,
4429389651,node,amenity,fast_food,KFC,,,12.9826153,99.9001656,,,,,,,,,,chicken,,
4429389652,node,amenity,restaurant,MK Restaurants,,,12.9827747,99.9002568,,,,,,,,,,thai,,
4561168595,node,tourism,viewpoint,Art of Salt,,,13.0951672,100.0638903,,,,,,,,,,,,
4561184890,node,amenity,restaurant,ไอติมพรชัย,,,13.1099996,99.9472609,,,,,,,,,,,,
4571138194,node,amenity,restaurant,ร้านอาหารพ่อเข่ง,,ร้านอาหารพ่อเข่ง,12.9860877,99.9012334,,,,,,,,,,,,
4584726491,node,tourism,hostel,,ferngully hostel,,13.1110827,99.9391746,,,,,,,,,,,,
4679567721,node,amenity,restaurant,,,,13.109674,99.946742,,,,,,,,,,,,
4679791990,node,amenity,restaurant,,KINGKONG STEAK,,13.1173208,99.9366687,,,,,,,,,,,,
4696505789,node,tourism,hotel,,,,13.1055339,99.9354557,,,,,,,,,,,,
4730189007,node,amenity,restaurant,ครัวเคียงคลื่น,,,13.0211062,100.0794081,,,,,,,,,,,,
4752612923,node,amenity,restaurant,คุณแอ๊ว,,คุณแอ๊ว,12.980782,100.0470252,,,,,,,,,,,,
4776161521,node,tourism,guest_house,,Thongjiea homestay,,13.0236488,100.0775177,,,,,,,,,,,,
4776161522,node,tourism,guest_house,ทองจิรา โฮมสเตย์,Thongjiea Homestay,,13.0302822,100.0817702,,,,,,,,"23JJ+3M Laem Phak Bia, Ban Laem District, Provincia de Phetchaburi, Tailandia",,,,
4780187322,node,tourism,guest_house,,Thanaporn Resort,,13.1948078,99.9960884,,,,,,,,,,,,
4781348130,node,amenity,restaurant,ข้าวต้มจอย,,ข้าวต้มจอย,13.0805206,99.9495111,,,,,,,,,,thai,,
5079080937,node,tourism,guest_house,Sweet Dreams,,,13.1199396,99.9515995,,,,,,,,,,,,
5083085321,node,amenity,fast_food,ไก่ย่างพลังแสงอาทิตย์,Solar meat,,13.1098043,99.9577669,,,,,,,,,,,,
5109271426,node,amenity,restaurant,VR Petchaburi,VR Petchaburi Anuttra,VR Petchaburi,13.0885994,99.9528346,+66 860317861,,,,,,Th-Tu 07:00-16:00,,,,,
5150900821,node,amenity,bar,Beer,,,13.1097592,99.9568795,,,,,,,,,,,,
5152874523,node,amenity,cafe,,,,13.1008857,99.94408,,,,,,,,,,,,
5152913021,node,amenity,restaurant,To eat,,,13.1059676,99.9477508,,,,,,,,,,,,
5154658624,node,amenity,restaurant,To eat,,,13.1056751,99.9475842,,,,,,,,,,,,
5273085009,node,amenity,fast_food,KFC drive through,,,13.0633357,99.9459483,,,,,,,,,,,,
5273085724,node,amenity,fast_food,McDonalds drive through,,,13.0630703,99.9458276,,,,,,,,,,,,
5275034521,node,tourism,guest_house,600 for twin,,600 for twin,13.0014919,100.0589892,,,,,,,,,,,,
5320315118,node,tourism,motel,,,,13.1200282,99.9348603,,,,,,,,,,,,
5320315119,node,tourism,motel,,,,13.1174905,99.9363945,,,,,,,,,,,,
5320316581,node,amenity,restaurant,PP & D,,,13.117696,99.9511922,,,,,,,,,,,,
5323509054,node,tourism,motel,,,,13.124639,99.9294281,,,,,,,,,,,,
5344984822,node,tourism,attraction,,,,13.0465264,100.0833929,,,,,,,,,,,,
5373987921,node,amenity,restaurant,,,,13.112223,99.9384803,,,,,,,,,,,,
5409700121,node,tourism,hotel,ECO MOMENT Beachresort,,,13.0217787,100.0800786,,http://ecomomentbeachresort.com,,,,,,,,,,
5426264833,node,tourism,hotel,Alinda Resort,,,13.0933959,99.9413995,,,,,,,,,,,,
