osm_id,osm_type,category,subcategory,name,name_en,name_th,lat,lng,phone,website,facebook,instagram,line_id,email,opening_hours,address_full,stars,cuisine,wheelchair,operator
303924229,node,tourism,museum,พิพิธภัณฑ์พื้นบ้านจ่าทวี,Sgt Major Thawee Folk Museum,พิพิธภัณฑ์พื้นบ้านจ่าทวี,16.8056611,100.2673643,+66 55 212 749,,,,,,Mo-Su 08:30-16:30,"26 138, ถนนวิสุทธิ์กษัตริย์, Nai Mueang, Mueang Phitsanulok, Phitsanulok, 65000",,,,
369939134,node,tourism,attraction,วัดพระศรีรัตนมหาธาตุ,Wat Phra Si Rattana Mahathat,วัดพระศรีรัตนมหาธาตุ,16.8235735,100.2618582,,,,,,,,"92/3, Phutthabucha Alley, Nai Mueang, Mueang Phitsanulok, Phitsanulok, 65000",,,,
934736566,node,amenity,restaurant,Gung Kheo,,,16.8548095,100.2178403,,,,,,,,,,thai,,
1069585904,node,amenity,restaurant,อร่อยดี,,,16.852036,100.2228402,,,,,,,Mo-Su 08:00-18:00; Apr 10-15 off; Jun 08:00-14:00; Aug off; Dec 25 off,,,chicken,,
1188706483,node,tourism,guest_house,Lithai Guesthouse,,,16.813141,100.2634641,,,,,,,,,,,,
1188707172,node,tourism,hotel,,,,16.8263403,100.2524505,,,,,,,,,,,,
1188707583,node,tourism,hotel,Ksuwan,,,16.814758,100.2576561,,,,,,,,,,,,
1273027103,node,amenity,cafe,คาเฟ่ อเมซอน,Cafe Amazon,,16.8300395,100.3623722,,,,,,,,,,,,
1274266567,node,amenity,cafe,คาเฟ่ อเมซอน,Cafe Amazon,,16.7944414,100.2104626,,,,,,,,,,,,
1519089305,node,tourism,hotel,Monrawi Hotel,,,16.8358734,100.2405842,,,,,,,,,,,,
1825168682,node,amenity,restaurant,ข้าวมันไก่มะระ,,,16.8109022,100.2682987,,,,,,,,,,thai,,
1908842089,node,amenity,bar,,,,16.7572823,100.2034101,,,,,,,,,,,,
1908842106,node,amenity,bar,,,,16.7524976,100.2003468,,,,,,,,,,,,
1908842115,node,amenity,bar,,,,16.7525258,100.2004085,,,,,,,,,,,,
1936649832,node,amenity,bar,,,,16.7529146,100.2011247,,,,,,,,,,,,
2268086462,node,amenity,cafe,Ao,,,16.8289157,100.2663966,,,,,,,,,,coffee_shop,,
2268086464,node,shop,coffee,Café Amazon,Café Amazon,คาเฟ่ อเมซอน,16.8293502,100.2669763,,,,,,,,,,coffee_shop,,PTT
2268089739,node,tourism,hotel,Topland Hotel,,,16.8218129,100.2647443,,https://www.toplandhotel.com/,,,,,,,,,,
2268089743,node,amenity,marketplace,market,,,16.8227579,100.2639569,,,,,,,,,,,,
2586841624,node,amenity,restaurant,,Ran Pang Ma,,16.8276381,100.2652699,,,,,,,,,,thai;chinese,,
2587396696,node,amenity,cafe,,Coffee 'N More,,16.8216798,100.2693891,,,,,,,,,,,,
2587396700,node,amenity,restaurant,กนก,Kanokpan Restaurant,กนกภัณฑ์ ก๋วยเตี๋ยวสุโขทัย,16.8277514,100.2654706,+66 55 280 970,,,,,,Mo-Su 06:00-15:00,,,thai,,
2587396703,node,amenity,cafe,,Tangluk Coffee House,,16.8278569,100.265463,,,,,,,,,,coffee_shop,,
2789813089,node,amenity,cafe,The Pista,,,16.8138135,100.2619228,,,,,,,,,,,,
3201665192,node,amenity,bar,Calito,,,16.8138401,100.2597218,,,,,,,,,,,,
3220276490,node,tourism,hotel,City Hotel,,,16.8178385,100.2645625,055-244933,,,,,,,,,,,
3220276494,node,shop,massage,Massage Thailand,,,16.8042285,100.2676169,085-5433174,,,,,,,,,,,
3324206264,node,amenity,bar,Amarin,,,16.8133985,100.2634503,,,,,,,,,,,,
3324206265,node,tourism,hotel,Asia Hotel,,,16.8132558,100.2645856,,,,,,,,,,,,
3324206267,node,tourism,guest_house,Bon Bon Guesthouse,,,16.8130324,100.2630563,,,,,,,,,,,,
3324206269,node,amenity,bar,Wood Stock,,,16.8155757,100.2680149,,,,,,,Mo-Su 18:00-24:00,"148 21-22, ถนน Wisut Kasat, Mueang Phitsanulok, Phitsanulok, 65000",,,,
3324206337,node,amenity,parking_space,,,,16.8128774,100.2627961,,,,,,,,,,,,
3324206360,node,tourism,attraction,,Clock tower.,,16.8134687,100.2625515,,,,,,,,,,,,
3324206502,node,tourism,information,,,,16.8170717,100.2603654,,,,,,,,,,,,
3367300893,node,tourism,hotel,Pailyn Hotel,,,16.81803,100.26141,,,,,,,,,,,,
3438496150,node,amenity,cafe,Black Canyon Coffee,,,16.821531,100.2646975,,,,,,,,,,thai,,
3438496151,node,amenity,fast_food,KFC,KFC,เค เอฟ ซี,16.8216235,100.264798,1150,https://www.kfc.co.th/,,,,,,,,chicken,,Kentucky Fried Chicken
3488626317,node,amenity,cafe,สตาร์บัคส์,Starbucks,,16.84029,100.2336618,,www.starbuckscard.in.th,,,,,,,,coffee_shop,,
3846366112,node,tourism,hotel,Hop Inn Phitsanulok,,,16.8139569,100.236382,,https://hopinnhotel.com/,,,,,,66/6,,,,
4105739089,node,amenity,fast_food,KFC,KFC,เค เอฟ ซี,16.8186537,100.3010681,1150,https://www.kfc.co.th/,,,,,,,,chicken,,Kentucky Fried Chicken
4113110689,node,tourism,hostel,ICE Coffee & Bed Hostel,,,16.8037867,100.2677013,+66899441631,https://www.facebook.com/ISC.CoffeenBed,https://www.facebook.com/ISC.CoffeenBed,,,,,"26/221, Wisut Kasat Rd.",,,no,
4126313791,node,tourism,hotel,Hotel Morage,,,16.8010068,100.260333,,,,,,,,,,,,
4127311590,node,amenity,cafe,Grazie Mille Cafe,,,16.8118008,100.2564864,,,,,,,,,,,,
4127313789,node,amenity,bar,Rong Huk,,,16.8112135,100.2567095,,,,,,,,,,,,
4127313790,node,amenity,restaurant,Shabu Indy,,,16.8120672,100.2554057,,,,,,,,,,,,
4127314489,node,amenity,restaurant,Buck Town,,,16.8105849,100.2559214,,,,,,,,,,,,
4127316389,node,amenity,cafe,Made for Mouth Cafe,,,16.811859,100.2552205,,,,,,,,,,,,
4127316390,node,amenity,restaurant,D&G Thai & American Restaurant,,,16.8152333,100.2447373,,,,,,,,,,thai;american,,
4127319089,node,amenity,restaurant,Roslamoon Bar & Bistro,,,16.814036,100.2561548,,,,,,,,,,,,
4127333889,node,shop,massage,Nthaywong Thai Massage,,,16.8153571,100.2447764,,,,,,,,,,,,
4127485051,node,amenity,nightclub,Forte,,,16.8102888,100.260659,,,,,,,,,,,,
4127485052,node,amenity,restaurant,Tony's Ristorante,,,16.810163,100.2606831,,,,,,,,,,pizza;steak;pasta,,
4127485061,node,amenity,restaurant,Steak BKK,,,16.810032,100.2606938,,,,,,,,,,steak_house,,
4130476378,node,amenity,restaurant,,Shabu Shabu Nang Nai,,16.8108628,100.2630173,,,,,,,,,,,,
4154988726,node,tourism,hotel,Phitsanulok Orchid Hotel,,,16.8440803,100.2669388,,,,,,,,,,,,
4161016484,node,amenity,restaurant,Pizza Hut,,,16.8184685,100.265125,1150,,,,,,,,,pizza,,
4164123690,node,tourism,hotel,โรงแรมสมัยนิยม,Samai Niyom Hotel,,16.8132812,100.2642962,055258575,,,,,,,"175, ถนน เอกาทศรถ",,,,
4200399135,node,amenity,restaurant,Italy,,,16.8103216,100.2603739,,,,,,,,,,italian,,
4231265097,node,amenity,cafe,ร้านต้นน้ำนมสด,,,16.8223862,100.2589828,,,,,,,,,,,,
4231265098,node,tourism,hotel,โรงแรมพิษณุโลก,,,16.8148345,100.2651486,,,,,,,,,,,,
4231352692,node,amenity,restaurant,ก๋วยเตี๋ยวเรือรสดี,,,16.8171332,100.3131456,,,,,,,,,,,,
4231352695,node,amenity,restaurant,ร้านอาหารไม้เมือง,Maimung Restaurant,,16.817117,100.2988264,,,,,,,,,,,,
4236907472,node,amenity,restaurant,ร้านโปรด แอทโฮม,Ran Prot at Home,ร้านโปรด แอทโฮม,16.8184985,100.3149222,,,,,,,,,,,,
4236907473,node,amenity,restaurant,ป. บางรัก,,,16.816614,100.3130446,,,,,,,,,,,,
4236907704,node,amenity,restaurant,ร้าน Copa Coffee พิษณุโลก,,,16.8169683,100.3024419,,,,,,,,,,,,
