osm_id,osm_type,category,subcategory,name,name_en,name_th,lat,lng,phone,website,facebook,instagram,line_id,email,opening_hours,address_full,stars,cuisine,wheelchair,operator
260302192,node,tourism,hotel,La Moon,La Moon @ Phuket,La Moon @ Phuket,7.8855956,98.3936121,+66762209656,https://t.trip.com/oQ3gnZH,,,,phuketresotel@yahoo.com,Mo-Su 08:00-20:00,"2/6, ถนนหลวงพวง, 83000",,,,
265689795,node,tourism,viewpoint,แหลมพรหมเทพ,Phromthep Cape,แหลมพรหมเทพ,7.7588917,98.3033822,,,,https://www.instagram.com/explore/locations/106036434557250/promthep-cape/,,,,,,,,
362348979,node,tourism,viewpoint,,,,8.1181121,98.3735445,,,,,,,,,,,,
362377274,node,tourism,guest_house,Phuket Lotus Lodge,,,8.0772257,98.3013562,,http://www.lotuslodge.de/,,,,,,,,,,
364337714,node,tourism,hotel,Bel Aire,,,7.8966531,98.3010989,,,,,,,,,,,,
364338276,node,tourism,hotel,Ken's Inn,,,7.9020587,98.3005619,,,,,,,,,,,,
365304342,node,tourism,hotel,Family 2 Mansion,,,7.8969222,98.2997863,,,,,,,,,,,,
496945335,node,tourism,hotel,Kata Palm Resort & Spa,,,7.8189845,98.3010045,,,,,,,,,,,,
571499787,node,amenity,pub,,,,7.8144453,98.3396875,,,,,,,,,,,,
571499867,node,tourism,hotel,The Lighthouse,,,7.8230107,98.3451454,,,,,,,,,,,,
571499873,node,amenity,bar,,,,7.8202892,98.343448,,,,,,,,,,,,
571499885,node,amenity,bar,,,,7.8212989,98.3424716,,,,,,,,,,,,
571502616,node,tourism,hotel,Big A,,,7.8164128,98.3344937,,,,,,,,,,,,
573263225,node,amenity,bar,coconutbar,,,7.8218278,98.3416736,,,,,,,,,,,,
583467536,node,amenity,bar,beer bar,,,7.8202669,98.3441503,,,,,,,,,,,,
602931138,node,tourism,hotel,Expat,,,7.893222,98.2999093,,,,,,,,,3,,,
608659152,node,tourism,hotel,Mei Zhou Hotel,,,7.8866099,98.3942795,,,,,,,,,,,,
660180365,node,tourism,hotel,Palm View Resort,,,7.8869765,98.3027028,+6676344837,,,,,,24/7,"135/1, Nanai Road",3,,,
663047557,node,tourism,hotel,Evason Phuket,,,7.7800388,98.3356882,,,,,,,,,5,,,
663334457,node,amenity,bar,Mangmoon-Bar,,,7.8967668,98.3089061,,,,,,,,,,,,
663334526,node,amenity,bar,Freedom Bar,,,7.922809,98.2777509,,,,,,,,,,,,
672352930,node,tourism,hotel,Naithonburi Beach Resort,,,8.0608399,98.2792075,,,,,,,,,4,,,
672352933,node,tourism,hotel,Naithon Beach Mansion,,,8.0629239,98.2782004,,,,,,,,,,,,
672582339,node,tourism,hotel,Phuket Naithon Resort,,,8.0593733,98.2780845,,,,,,,,,,,,
672582341,node,amenity,bar,Seaview Bar,,,8.0603867,98.2778525,,,,,,,,,,,,
672582342,node,tourism,hotel,Naithon Seaview Hotel,,,8.0604275,98.2778808,,,,,,,,,,,,
672582347,node,tourism,hotel,Pearl of Naithon,,,8.0615206,98.278344,,https://pearlofnaithon.com/,,,,,,,,,,
672597116,node,tourism,hotel,Naithon Beach Resort,,,8.0574717,98.2783475,,,,,,,,,,,,
672597120,node,tourism,hotel,The Angel of Naithon,,,8.05897,98.2781541,,,,,,,,,,,,
672597127,node,amenity,bar,Mr. Jakob,,,8.0586586,98.2782005,,,,,,,,,,,,
672810494,node,tourism,hotel,Andaman White Beach Resort,,,8.0472189,98.2781612,+66 76 316 300,https://www.andamanwhitebeach.com/,,,,reservations@andamanwhitebeach.com,,"28/4 Moo 4, Tambon Sakoo, Thalang District, Phuket 83130, Tailandia",5,,,
672810510,node,amenity,bar,Madagascar,,,8.0562005,98.2783526,,,,,,,,,,,,
