osm_id,osm_type,category,subcategory,name,name_en,name_th,lat,lng,phone,website,facebook,instagram,line_id,email,opening_hours,address_full,stars,cuisine,wheelchair,operator
670342975,node,amenity,restaurant,,,,16.0557793,103.6987236,,,,,,,,,,,,
670342980,node,shop,coffee,Café Amazon,Café Amazon,คาเฟ่ อเมซอน,16.0557418,103.6989037,,,,,,,,,,coffee_shop,,PTT
1784251628,node,amenity,cafe,By Mo,,,16.057499,103.655441,,,,,,,,,,,,
2483767712,node,amenity,restaurant,Pizzeria Milano,,,16.0434776,103.6460771,,,,,,,,,,pizza;italian_pizza,,
3372960564,node,tourism,hotel,Sheeva Mansion,,,16.0356058,103.6713679,0933948811     0880335344     0856801800,,,,,,,,,,,
3488626313,node,amenity,cafe,สตาร์บัคส์,Starbucks,,16.0634824,103.6179629,,www.starbuckscard.in.th,,,,,,,,,,
3640129750,node,tourism,attraction,ไปรษณีย์ ร้อยเอ็ด,Roi Et Post Office,ไปรษณีย์ ร้อยเอ็ด,16.0566176,103.6538137,,,,,,,,,,,,
3643669674,node,amenity,cafe,The Cake Library,,,16.0614012,103.6605808,+66 92 693 6363,,,,,,,,,,,
3646033451,node,amenity,cafe,กาแฟชาวดอย,Chao Doi Coffee,กาแฟชาวดอย,16.0499237,103.6612557,,,,,,,,,,,,
3646116197,node,amenity,cafe,กาแฟชาวดอย,Chao Doi Coffee,กาแฟชาวดอย,16.0690951,103.6684004,,,,,,,,,,,,
3646166941,node,amenity,cafe,PaiDow Coffee,PaiDow Coffee,ปลายดาว คอฟฟี่,16.0708217,103.6615819,,https://slotwallet-auto.com/,,,,,,,,,,
3653775444,node,amenity,cafe,Café Amazon,Café Amazon,คาเฟ่ อเมซอน,16.052523,103.6493309,,,,,,,,,,coffee_shop,,PTT
3653913552,node,amenity,cafe,The Pine Cafe,,,16.053705,103.6621852,,,,,,,,,,,,
3687555282,node,tourism,hotel,The Premium Residence,,,16.055429,103.6598176,,,,,,,,"Tawapiban Soi 11, Roi Et, 45000",,,no,
4257319093,node,amenity,restaurant,นำโชค เนื้อย่าง,,,16.0433075,103.6460146,,,,,,,,,,grill,,
4257333090,node,amenity,restaurant,อนุบาล3,,,16.0595282,103.64162,,https://www.facebook.com/Anuban3FoodDrink/,https://www.facebook.com/Anuban3FoodDrink/,,,,Mo-Su 18:30-00:00,"33/13, ถนนกองพล10, 45000",,diner,,
4741666776,node,tourism,hotel,Rueanrimnam,,,16.0637063,103.6558992,,,,,,,,,,,limited,
4811016923,node,tourism,motel,บ้านขวัญลดา,Kwanlada Resort,บ้านขวัญลดา,16.0356583,103.6540156,,,,,,,,,,,,
4928282027,node,tourism,hotel,Petcharat Garden Hotel,,,16.068372,103.6544732,,,,,,,,roi et,,,limited,
5110326321,node,tourism,hotel,โรงแรมสาเกตนคร,,โรงแรมสาเกตนคร,16.0658707,103.6513385,,,,,,,,,,,,
5405005625,node,shop,massage,,,,16.0588704,103.6545937,0945408976,,,,,,Mo-Su 09:00-22:00,,,,,
5539661045,node,amenity,pub,One oh One Pizza,,,16.0582476,103.6489047,,,,,,,,"Roi Et, 45000",,pizza,,
6709186829,node,leisure,fitness_centre,,,,16.0575339,103.6515983,,,,,,,,,,,,
6709186847,node,amenity,restaurant,Good View Restaurant,,,16.0589109,103.6533667,,,,,,,,,,thai,,
6775367764,node,amenity,bar,Drone fix pub,,,16.0690699,103.6503814,,,,,,,,"128, รอ 214, เหนือเมือง เมือง ร้อยเอ็ด, 45000",,,,
6902023185,node,amenity,restaurant,,Liquor steak house,,16.0622444,103.6631269,,,,,,,Mo-Sa 12:00-22:00,,,american,,
6986499385,node,tourism,hotel,,,,16.0455946,103.6488079,,,,,,,,,,,,
7058301497,node,amenity,cafe,Café Amazon,,,16.0830693,103.7090452,,,,,,,,,,coffee_shop,,
