osm_id,osm_type,category,subcategory,name,name_en,name_th,lat,lng,phone,website,facebook,instagram,line_id,email,opening_hours,address_full,stars,cuisine,wheelchair,operator
2130416364,node,tourism,hotel,โรงแรม เอ็ม.เจ. เดอะมาเจ็สติค สกลนคร (MJ the Majestic),M.J. The Majestic Hotel Sakon Nakhon,โรงแรม เอ็ม.เจ. เดอะมาเจ็สติค สกลนคร,17.1569482,104.1471607,,,,,,,,,,,,
4084721101,node,amenity,restaurant,,,,17.1624473,104.1433021,,,,,,,,,,,,
4277796689,node,amenity,restaurant,Apple's Restaurant,,,17.1418406,104.1446207,,,,,,,Tu-Su 10:00-22:00,,,,,
4364175104,node,tourism,hotel,L P Mansion,,,17.1661446,104.1465039,,,,,,,,,,,,
4364176166,node,tourism,hotel,Dusit Hotel,,,17.1627208,104.1450984,,,,,,,,,,,,
4364177636,node,tourism,hotel,Hop Inn Sakon Nakhon,,,17.1652671,104.1386641,,,,,,,,,,,,
4364179025,node,tourism,hotel,PC Grand Palace,,,17.1631295,104.1364741,,,,,,,,,,,,
4364180833,node,tourism,hotel,MT Place,,,17.1568275,104.1410448,,,,,,,,,,,,
4364184368,node,tourism,hotel,UII Boutique Place,,,17.1587126,104.1357536,,,,,,,,,,,,
4364186207,node,tourism,hotel,Hong Hub @ Sakon,,,17.1813973,104.1115923,,http://honghubsakon.com/,,,,,,,,,,
4364189288,node,tourism,hotel,@SAKON Hotel,,,17.1571954,104.1522116,,,,,,,,,,,,
4364190227,node,tourism,hotel,Sakon Grand Palace,,,17.150523,104.157455,,,,,,,,,,,,
4364194190,node,tourism,hotel,Bangchak Phuphan Resort,,,17.1415408,104.1060026,,,,,,,,,,,,
4364196238,node,tourism,hotel,บ้าน เศรษฐ์ธนัน Apartment Daily and Month,,,17.1766492,104.1222804,,,,,,,,,,,,
4364197108,node,tourism,hotel,หอพักวาสิตา,,,17.1585486,104.1201539,,,,,,,,,,,,
4364197858,node,tourism,hotel,สกายอพาร์ทเม้นท์,,,17.1621775,104.1274602,,,,,,,,,,,,
4550221990,node,tourism,motel,,,,17.1436962,104.1071698,,,,,,,,,,,,
4867521204,node,tourism,hotel,Imperial Sakon Hotel,,,17.1593209,104.1477745,,,,,,,,,,,,
4873907841,node,amenity,cafe,Café Amazon,Amazon Cafe,,17.1156035,104.1437614,,,,,,,,,,coffee_shop,,
5271447121,node,amenity,restaurant,,OCha Milk,,17.1613205,104.1466723,,,,,,,,,,thai,,
5568245021,node,amenity,restaurant,ปูปลาจุ่ม,Pupajoom,ปูปลาจุ่ม thai food,17.1331204,104.1436185,+66 42 971 069,,,,,inthiban2508@gmail.com,Th-Tu 11:00-22:00,สกลทวาปี,,hot_dog;lao;diner;seafood;thai;local,,ใจภักดิ์
7059242885,node,amenity,cafe,,Piccolo Cafe,,17.1673984,104.1521947,,,,,,,,,,,,
11268455122,node,amenity,cafe,falling in the cop,,,17.1635522,104.1241395,,,,,,,,"565/4, ถนนรัฐบำรุง, ธาตุเชิงชุม, 47000",,coffee_shop,,
11568473526,node,amenity,marketplace,2Bhaesaj Drug Store,,,17.115589,104.1434206,,,,,,,,"203, Sakon-Nakae road, Mueng Sakon Nakhon, 47000",,,,drug store
12023645945,node,tourism,hotel,The Room Boutique Hotel,,,17.153796,104.1450374,,,,,,,,,,,,
12178255329,node,amenity,cafe,Fika Cafe,,,17.1776183,104.1227466,,,,,,,,,,coffee_shop,,
12178262396,node,tourism,hotel,,,,17.1543705,104.1461354,,,,,,,,,,,,
12328690982,node,amenity,cafe,คาเฟ่ อเมซอน,Café Amazon,คาเฟ่ อเมซอน,17.1734062,104.1059944,,,,,,,,,,coffee_shop,,
12328707717,node,amenity,cafe,คาเฟ่ อเมซอน,Café Amazon,คาเฟ่ อเมซอน,17.1825677,104.1146063,,,,,,,,,,coffee_shop,,
12856937001,node,amenity,restaurant,บิ้กอ้วน แหนมเนือง,Big Auon Nem Nuong,บิ้กอ้วน แหนมเนือง,17.1652502,104.1501078,,,,,,,,,,,,
12857240901,node,tourism,hotel,ลินลดา บูทีคโฮเทล,Linlada Boutique Hotel,ลินลดา บูทิคโฮเทล,17.1404525,104.1438981,,,,,,,,,,,,
12871004501,node,tourism,hotel,สุนทรีอพาร์ทเมนท์,Suntree Apartment,สุนทรีอพาร์ทเมนท์,17.1574388,104.140461,,,,,,,,,,,,
12888835502,node,amenity,restaurant,สถานีโรตี@สกลนคร,Roti Station @ Sakon Nakhon,สถานีโรตี@สกลนคร,17.1626862,104.1497985,,,,,,,,,,,,
12891820601,node,shop,massage,Massage,,,17.1643546,104.1451244,,,,,,,,,,,,
12891820701,node,amenity,cafe,คาเฟ่ อเมซอน,Café Amazon,คาเฟ่ อเมซอน,17.1648746,104.1580702,,,,,,,,,,,,
12896189601,node,amenity,restaurant,ดีอัน อาหารเวียตนาม,Đi ăn Vietnamese Restaurant,ดีอัน อาหารเวียตนาม,17.1635183,104.1499678,,,,,,,Mo-Su 08:00-14:00,,,vietnamese,,
13249604571,node,amenity,marketplace,ตลาดโต้รุ่งต. เจริญศรี,To Charoen Si Night Market,,17.1573162,104.1458487,,,,,,,Mo-Su 15:00-23:00,"Sakon Nakhon, 47000",,,,
13249604588,node,tourism,museum,พิพิธภัณฑ์หลวงปู่หลุย จันทสาโร,Luang Pu Lui Chanthasaro Museum,,17.1507395,104.1385916,,,,,,,,"Dong Mafai, Mueang Sakon Nakhon, Sakon Nakhon, 47000",,,,
13342379301,node,amenity,cafe,Phuntai Coffee,,,17.1573809,104.1506441,,,,,,,,,,,,
13342517101,node,tourism,hotel,Mali House Sakon Nakhon,,,17.1531556,104.1474896,+66 61 492 9262,,malihouse.snk,,,,24/7,444,,,,
13343760101,node,tourism,viewpoint,คูสูดละเบ๋อ เทศบาลนครสกลนคร,,,17.1740467,104.1586577,,,,,,,,,,,,
13354611904,node,amenity,cafe,คาเฟ่ อเมซอน,Café Amazon,คาเฟ่ อเมซอน,17.1565718,104.1551782,,,,,,,,,,coffee_shop,,
13773192001,node,amenity,restaurant,Bonus Suki,,,17.1598678,104.1500315,,,,,,,,,,asian,,
13788471501,node,tourism,hotel,โรงแรมสกลวีไอพี,,,17.1787159,104.1273751,,,,,,,,,,,,
528639703,way,leisure,golf_course,,,,,,,,,,,,,,,,,
605770730,way,amenity,restaurant,อาป๋าราชาซีฟู้ด,,,,,,,,,,,,"ใสสว่าง, สกลนคร, 47000",,seafood,,
1329320756,way,tourism,hotel,Nong Han Elegant Hotel,,,,,,,,,,,,,,,,
1329320762,way,amenity,restaurant,,,,,,,,,,,,,,,,,
1443908526,way,amenity,marketplace,ถนนคนเดินสกลนคร,"Sakon Nakhon Walking Street, Saturday & Sunday Nights",,,,,,,,,,Sa-So 15:00-20:00,"That Choeng Chum, Mueang Sakon Nakhon, Sakon Nakhon, 47000",,,,
1443908528,way,tourism,museum,พิพิธภัณฑ์อาจารย์มั่น ภูริทัตโต,Achan Man Phurithatto Museum,,,,,,,,,,,"Dong Mafai, Mueang Sakon Nakhon, Sakon Nakhon, 47000",,,,
1443908529,way,tourism,museum,พิพิธภัณฑ์ภูพาน,Phu Phan Museum,,,,,https://www.facebook.com/PhiphithphanthPhuPhanCanghwadSklnkhr/,https://www.facebook.com/PhiphithphanthPhuPhanCanghwadSklnkhr/,,,,,"Mueang Sakon Nakhon, Sakon Nakhon, 47000",,,,
