osm_id,osm_type,category,subcategory,name,name_en,name_th,lat,lng,phone,website,facebook,instagram,line_id,email,opening_hours,address_full,stars,cuisine,wheelchair,operator
667881867,node,amenity,restaurant,,,,14.5896291,101.0235455,,,,,,,,,,,,
667881868,node,shop,coffee,Café Amazon,Café Amazon,คาเฟ่ อเมซอน,14.5898865,101.0234193,,,,,,,"PH,Mo-Su 08:00-20:00",,,coffee_shop,,PTT
958267044,node,amenity,cafe,Café Amazon,Café Amazon,คาเฟ่ อเมซอน,14.5545246,100.9658921,,,,,,,,,,coffee_shop,,PTT
958267055,node,amenity,restaurant,แบ็ลคแคนยอน,Black Canyon Kitchen,แบ็ลคแคนยอน,14.5543145,100.9665728,,,,,,,,,,,,
958267155,node,amenity,restaurant,,,,14.5539512,100.9655661,,,,,,,,,,,,
958267266,node,amenity,fast_food,KFC,KFC,เค เอฟ ซี,14.554463,100.9662736,1150,https://www.kfc.co.th/,,,,,,,,chicken,,Kentucky Fried Chicken
2669998064,node,amenity,restaurant,ก๋วยเตี๋ยวเรือเจ้าค่ะ,,,14.5239938,100.9243294,,,,,,,10:00-22:00,"Sut Banthat, สระบุรี, 18000",,ก๋วยเตี๋ยว,,
3033885554,node,shop,coffee,คาเฟ่ อเมซอน,Café Amazon,คาเฟ่ อเมซอน,14.547535,100.9596758,,,,,,,"PH,Mo-Su 07:00-20:00",,,coffee_shop,,PTT
3164017387,node,tourism,hotel,Bandaara Resort,,,14.5183767,100.9431199,,,,,,,,,,,,
3237621591,node,amenity,cafe,,,,14.4923232,100.9169946,,,,,,,,,,coffee_shop,,
3281620803,node,amenity,nightclub,Bar-cony,,,14.5235502,100.9068817,,,,,,,,,,,,
3281620805,node,tourism,hotel,Choktawee Place,,,14.5247446,100.8970327,+66 897778846,,,,,,,,,,,
3476299422,node,tourism,hotel,Kyo-un Hotel,,,14.5225456,100.9136033,,,,,,,,,,,,
3476299436,node,tourism,hotel,Akanist Tower,,,14.5351046,100.8982477,,,,,,,,,,,,
3476312651,node,tourism,hotel,โรงแรมสระบุรี,Saraburi Hotel,,14.5229585,100.918367,,,,,,,,,2,,,
3476312881,node,tourism,hotel,Muang Prieo Inn Hotel,,,14.5224547,100.9357879,,,,,,,,,,,,
3476315971,node,tourism,hotel,Sub Sin Roong Rueng,,,14.531789,100.9114093,,,,,,,,,,,,
3476318641,node,tourism,hotel,ที่พัก เรือนขุมทรัพย์ อพาร์ทเมนท์ สระบุรี,,,14.541019,100.9480134,,,,,,,,,,,,
3476321929,node,tourism,hotel,Saeng Thai Villa and Karaoke,,,14.5245943,100.928621,,,,,,,,,,,,
4071296590,node,amenity,restaurant,MK Restaurants,MK Restaurants,,14.5242931,100.9253308,1642,https://www.mkrestaurant.com/,,,,,,,,thai,,MK Restaurants
4071296592,node,amenity,cafe,La Glace Desserts & Eatery,,,14.5262913,100.9245399,,,,,,,,,,,,
4071296593,node,amenity,fast_food,,Food Court,,14.5241476,100.924919,,,,,,,,,,,,
4071296594,node,amenity,cafe,24°C Coffee & Bakery,,,14.5237665,100.9230769,,,,,,,,,,,,
4071296595,node,amenity,fast_food,Chester's,,,14.5241064,100.9253461,,,,,,,,,,chicken,,
4071296596,node,tourism,hotel,แกรนด์จรูญรัตน์,Grand Charoonrat,,14.5243394,100.9211609,+6636220888,,,,,,,,,,,
4235492889,node,amenity,cafe,วิจันนม,,,14.550214,100.8557557,,,,,,,,,,,,
4366131890,node,tourism,hostel,วี เค เพลส2,,วี เค เพลส2,14.5367003,100.8886882,,,,,,,,เลียบคลองชลประทาน,,,,
4517049690,node,amenity,restaurant,ขนมจีนครูอี๊ต,,ขนมจีนครูอี๊ต,14.5498085,100.8541295,,,,,,,,,,,,
4586530189,node,tourism,attraction,ตลาดสี่แยกเสาไห้,,ตลาดสี่แยกเสาไห้,14.5504077,100.8566744,,,,,,,,,,,,
4818284323,node,tourism,hotel,กรีนฟิลด์ รีสอร์ท,Green Field Resort,,14.4611388,100.9376567,0624181984,,,,,,,,,,,
4837771228,node,tourism,motel,,,,14.565588,100.96918,,,,,,,,,,,,
4868022422,node,tourism,guest_house,,,,14.5812731,101.0116472,,,,,,,,,,,,
5188793421,node,amenity,cafe,,88 Coffee Talk,,14.5746604,100.9023865,,,,,,,,,,,,
5247136021,node,amenity,restaurant,ต๋องสุกี้,,,14.5296089,100.9132927,,,,,,,,,,,,
5431493750,node,amenity,fast_food,,Burger King,,14.4645076,100.9070036,,,,,,,,,,,,
6168465370,node,amenity,cafe,Cafe Amazon,,,14.551784,100.9065029,,,,,,,Mo-Su 08:00-19:00,,,,,
6942405686,node,amenity,restaurant,MahaJamroen,,,14.521721,100.9426616,,,,,,,,8/88,,thai,,
7099595286,node,tourism,viewpoint,,FooD Market,,14.5273399,100.9142129,,,,,,,,,,,,
7099595287,node,tourism,hotel,,Simon inn。,,14.5146249,100.907866,,,,,,,,,,,,
7142128681,node,amenity,fast_food,ผ.ผึ้งกุ้งเผา สระบุรี,,,14.5399142,100.8935549,,,,,,,Mo-Su 09:00-21:00,"44/4, พิชัยณรงค์สงคราม34, ปากเพรียว, 18000",,thai,,0912600743
7226603443,node,tourism,motel,Santian Resort,,,14.5266282,100.9164768,,,,,,,,,,,,
7229585616,node,tourism,motel,Sangthian Resort,,,14.5266282,100.9164768,,,,,,,,,,,,
7631659454,node,amenity,cafe,Cafe Amazon,,,14.5042565,100.9722197,,,,,,,,,,coffee_shop,,
8399370622,node,amenity,restaurant,Triple A Thai Indian Restaurant,,,14.526798,100.9144911,0836048716,https://m.facebook.com/Triple-A-Thai-Indian-Restaurant-Saraburi-107871347735046/,https://m.facebook.com/Triple-A-Thai-Indian-Restaurant-Saraburi-107871347735046/,,,,,"216/1, Thetsaban 9",,,,
10539877372,node,amenity,restaurant,ข้าวมันไก่บ้านบึง 2,,,14.5418554,100.9234566,,,,,,,จันทร์-อาทิตย์ 16:00 - 20:30,"229/13, ถนนเทศบาล 4, ปากเพรียว, 18000",,,,
