osm_id,osm_type,category,subcategory,name,name_en,name_th,lat,lng,phone,website,facebook,instagram,line_id,email,opening_hours,address_full,stars,cuisine,wheelchair,operator
1180044775,node,tourism,hotel,Rain Tong Hotel,,,6.6134664,100.0634324,,,,,,,,,,,,
1180044813,node,amenity,restaurant,On's The Living Room,,,6.6135973,100.0649993,,,,,,,,,,,,
3284312766,node,amenity,restaurant,,,,6.6160518,100.0657969,,,,,,,,,,,,
3284312963,node,tourism,hotel,โรงแรม ... ธานี,Sinkiat Thani Hotel,,6.61337,100.0648501,,,,,,,,,,,,
3318037455,node,tourism,hotel,The Gleam Resort,,,6.6049066,100.0667642,,,,,,,,,,,,
3318050150,node,amenity,restaurant,Nong Nee Restaurant,,,6.605205,100.0655411,,,,,,,,,,,,
3318061092,node,amenity,restaurant,Sum Anon Restaurant,,,6.6023594,100.0651227,,,,,,,,,,,,
3318061093,node,amenity,restaurant,Muang Ubon Restaurant,,,6.6053862,100.0639747,,,,,,,,,,,,
3318073703,node,amenity,cafe,Keith homemade bakery,,,6.6103632,100.0717531,,,,,,,,,,,,
3318073707,node,tourism,hotel,Daring Bungalow,,,6.6173865,100.0753043,,,,,,,,,,,,
3318076652,node,tourism,hotel,โรงแรม สตูลธานี,Satun Thani Hotel,,6.6155001,100.0662063,,,,,,,,,,,,
3318077290,node,tourism,hotel,Udomsuk Hotel,,,6.6142426,100.0692318,,,,,,,,,,,,
3318088546,node,amenity,bar,Hollywood Pub,,,6.6161939,100.0743023,,,,,,,,,,,,
3318093795,node,amenity,cafe,Ruan Thong Cafe,,,6.6221823,100.0655196,,,,,,,,,,,,
3318094129,node,tourism,hotel,Pam Riso,,,6.6233972,100.0706373,,,,,,,,,,,,
3318094269,node,tourism,hotel,Palm Resort,,,6.6251663,100.0744031,,,,,,,,,,,,
3318094446,node,tourism,hotel,Holiday,,,6.627383,100.063567,,,,,,,,,,,,
3318094461,node,tourism,hotel,Phangka Be Riso,,,6.627319,100.068116,,,,,,,,,,,,
3318094505,node,tourism,hotel,Salisa Resort,,,6.6263066,100.056325,,,,,,,,,,,,
3318094561,node,tourism,hotel,Rose Inn Resort,,,6.6254967,100.0637172,,,,,,,,,,,,
3318094588,node,tourism,hotel,Na Khao Bungalow,,,6.6301112,100.0625799,,,,,,,,,,,,
3318094853,node,tourism,hotel,BB Gardens,,,6.6399156,100.0704549,,,,,,,,,,,,
3318094854,node,amenity,bar,Paradise Complex,,,6.6395533,100.0705407,,,,,,,,,,,,
3318094855,node,tourism,hotel,Nok Nam Riso,,,6.6402993,100.072429,,,,,,,,,,,,
3332386294,node,tourism,hotel,โรงแรม ... บุรี,Sinkiat Buri Hotel,,6.614202,100.0646302,,https://www.sinkiathotel.com/,,,,,,,,,,
4531718790,node,amenity,restaurant,,Ikhwan Fried Chicken Satun,,6.6121817,100.0720445,,,,,,,,,,,,
4532186489,node,amenity,restaurant,,Ikhwan Fried Chicken Satun,,6.612525,100.0713347,,,,,,,,,,,,
4551777989,node,amenity,cafe,,A.P. coffee Arabica,,6.610876,100.0690542,,,,,,,,,,,,
5300596363,node,amenity,restaurant,Coffee,,,6.6161492,100.0657919,,,,,,,,,,,,
5403518122,node,tourism,hotel,,Lomlay Rezort,,6.6348666,100.0689983,,,,,,,,,,,,
5535178219,node,tourism,museum,National museum Satun,,,6.6175651,100.0661803,,,,,,,,,,,,
6310422769,node,tourism,hotel,Perfect Toom Resort,,,6.6221371,100.07359,,,,,,,,,,,,
6373377086,node,amenity,restaurant,,Jae vegan Restaurant,,6.6119846,100.0635619,,,,,,,Mo-Su 07:00-14:00,,,thai,,
7000652785,node,tourism,hostel,,Piman guest house,,6.619178,100.0694181,,,,,,,,,,,,
7111469287,node,amenity,restaurant,,Bobby's pizza,,6.6131001,100.0662611,,,,,,,,,,,,
7273556485,node,amenity,restaurant,Restaurant,,,6.6102294,100.0674193,,,,,,,,,,,,
7273562285,node,amenity,restaurant,Nong Ni Restaurant Santun Thailand,,,6.6102231,100.0673983,,,,,,,,,,,,
9701779017,node,amenity,restaurant,,HALAL DIMSUN,,6.6192233,100.0746829,,,,,,,,,,,,
10172983717,node,amenity,cafe,,RNK Coffee,,6.6187091,100.0668316,+66 74 833 833,,,,,,Mo-Fr 07:30-19:30; Sa-Su 08:00-19:30,,,cake;coffee_shop;tea,,
10173072118,node,amenity,cafe,,Cafe Amazon,,6.6978303,100.0665312,,,,,,,,,,,,
11583846769,node,tourism,motel,Metro Palace,,,6.6181437,100.0685155,,,,,,,,,,,,
13691671505,node,amenity,marketplace,Food Market,,,6.63171,100.0694843,,,,,,,,,,,,
320475961,way,amenity,public_building,Land Transport Office,,,,,,,,,,,,,,,,
1013812579,way,amenity,marketplace,ตลาดโต้รุ้ง,Night Market,,,,,,,,,,,,,,,
1014065297,way,amenity,restaurant,โรงอาหาร,,,,,,,,,,,,,,,,
1024730231,way,tourism,hotel,โรงแรมวังใหม่,Pinnacle Wang Mai Hotel,,,,,,,,,,,,,,,
