osm_id,osm_type,category,subcategory,name,name_en,name_th,lat,lng,phone,website,facebook,instagram,line_id,email,opening_hours,address_full,stars,cuisine,wheelchair,operator
303938651,node,tourism,guest_house,Garden House,,,17.0082777,99.8165352,,,,,,,,,,,,
683064090,node,tourism,guest_house,Friend's House,,,17.0051949,99.8155739,,https://www.lesukhothai.com/,,,,,,,,,,
703519974,node,tourism,guest_house,Hangjeng Guest House,,,17.0067019,99.818153,,,,,,,,,,,,
703520049,node,amenity,restaurant,พิกกี้ หมูกะทะ,Piggy frying pan,พิกกี้ หมูกะทะ,17.0088088,99.8132278,,,,,,,,,,thai,,
703520060,node,amenity,pub,Chopper Bar,,,17.0083067,99.8160858,,,,,,,,,,,,
703520062,node,amenity,restaurant,,,,17.0083604,99.8145032,,,,,,,,,,thai,,
703520064,node,amenity,restaurant,ตำลาว,Poo Restaurant,,17.0083092,99.8151684,+66 93 197 4070,,,,,,Mo-Su 11:00-22:00,,,thai,,
703520071,node,tourism,guest_house,TR Guest House,,,17.0082514,99.8168636,+66 55 611663;+66 84 0499445,http://www.sukhothaibudgetguesthouse.com/,,,,guesthouse_tr@yahoo.com,,,,,,
703520073,node,tourism,guest_house,Banthai Guest House,,,17.0076516,99.8179891,,,,,,,,,,,,
703520080,node,tourism,information,TAT,,,17.0086218,99.8168987,,,,,,,,,,,,
703520089,node,amenity,cafe,Game&Play,,,17.0082977,99.8194752,,,,,,,,,,,,
703520091,node,amenity,restaurant,,,,17.008774,99.819589,,,,,,,,,,thai,,
703520097,node,tourism,guest_house,River House,,,17.0102169,99.8167565,,,,,,,,,,,,
703520099,node,tourism,guest_house,J&J Guest House,,,17.0104989,99.8166881,,,,,,,,,,,,
703947724,node,amenity,fast_food,KFC,KFC BigC Sukhothai,เค เอฟ ซี,17.0108413,99.7735848,1150,https://www.kfc.co.th/,,,,,,,,chicken,,Kentucky Fried Chicken
1188707004,node,tourism,guest_house,No. 4 Guesthouse,,,17.0117824,99.813769,,,,,,,,,,,,
1420857717,node,tourism,guest_house,โรงแรมโลตัส วิลเลจ,Lotus Village,,17.0130308,99.8181723,+66 55 621484,www.lotus-village.com,,,,,,"170, Ratcatanee Street, Sukhothai",,,,
1421004223,node,amenity,restaurant,Dream Cafe,Dream Cafe,,17.008544,99.8223313,,,,,,,,,,,,
2331601695,node,tourism,guest_house,Happy Guest House,,,17.0059239,99.8159623,,,,,,,,,,,,
2331747213,node,tourism,hotel,Pai Resort,,,17.0082996,99.8162426,,,,,,,,,,,,
2592517052,node,amenity,restaurant,MK Restaurants @ Big c,MK Restaurants,,17.0109273,99.7731568,71642,https://www.mkrestaurant.com/,,,,,,,,suki,,MK Restaurants
2592517056,node,amenity,fast_food,Mister Donut,,,17.0106279,99.7731451,,,,,,,,,,donut,,
2592517060,node,amenity,cafe,Swensens,,,17.0104657,99.7731334,,https://www.swensens1112.com/,,,,,,,,ice_cream,,
2593456367,node,tourism,hotel,,Chinawat Hotel,,17.0087909,99.8184151,,,,,,,,,,,,
2593456371,node,tourism,information,,Convenience and Safety Center for Tourists,,17.0118915,99.8209738,,,,,,,,,,,,
2593456375,node,tourism,guest_house,,Foresto Sukhothai Guesthome,,17.0082602,99.8166529,+66832134112,,,,,,,,,,,
2593456378,node,amenity,restaurant,,Foresto Sukhothai Restaurant,,17.0080425,99.816624,,,,,,,,,,,,
2593456381,node,tourism,guest_house,,Hangjeng Guesthouse,,17.0075058,99.8183415,,,,,,,,,,,,
2593456391,node,amenity,restaurant,Mai Pra Dit Coffee and Bistro,S&N Coffee House & Restaurant,,17.0089791,99.8215701,,,,,,,Mo-Su 09:00-20:00,,,,,
2593456397,node,tourism,hotel,,Sukhothai Orchid Hotel,,17.0090382,99.8220657,,,,,,,,,,,,
2625984710,node,tourism,guest_house,Rueng Sri Siri Guesthouse,,,17.0148188,99.8121563,+66873146113,,,,,,,"118/20, Moo 1, T. Pakhwai, A. Muang",,,,
3218783110,node,shop,massage,ร้านรุ่งฟ้าเฟอร์นิเจอร์,Happy work massage,,17.0087189,99.8163904,,,,,,,,,,,,
3263073308,node,tourism,information,Tourist Assistance Center,Tourist Assistance Center,,17.0088996,99.8178903,,,,,,,,,,,,
3263073309,node,amenity,bar,bar64000,bar64000,,17.0084329,99.8162801,,,,,,,,,,,,
3263073325,node,shop,massage,,,,17.0084861,99.8164826,,,,,,,,,,,,
3263073335,node,shop,beverages,,,,17.0090114,99.8185104,,,,,,,,,,,,
3263073337,node,amenity,cafe,,,,17.0091766,99.8211605,,,,,,,,,,,,
3519687493,node,tourism,guest_house,4T Guest House,,,17.010938,99.814718,055614679,,,,,fourthouse@yahoo.com,,"122, Soi Mae Ramphan, Sukhothai, 64000",,,,
3661183038,node,amenity,restaurant,ครัวพฤษชาติ,,,17.0241566,99.8162572,,,,,,,,,,regional,,
3661183039,node,amenity,restaurant,เจ๊เป้าโภชนา,,,17.0248241,99.8161666,,,,,,,,,,,,
3661185013,node,amenity,restaurant,ร้านอาหารปีกไม้,,,17.0222977,99.816459,,,,,,,,,,,,
3661209284,node,tourism,guest_house,บ้านไส้กรอก แซบอีหลี,,,17.0231009,99.8176254,,,,,,,,,,,,
3661209285,node,amenity,restaurant,ครัวต้นไผ่,Restaurant Bamboo,,17.0212605,99.8219798,,,,,,,,,,regional,,
3661213914,node,amenity,restaurant,ริมทางสเต็ก,,,17.0212353,99.8221358,,,,,,,,,,thai,,
3661213915,node,amenity,restaurant,กุ๊กแก่นอาหารตามสั่ง,,,17.0151045,99.8328435,,,,,,,,,,,,
3662926478,node,amenity,restaurant,ร้านตี๋ ต้มเลือดหมู ตือฮวน ถนน จรดวิถีถ่อง,,,17.0091754,99.8183139,,,,,,,,,,thai,,
3662926479,node,amenity,restaurant,ร้านอาหารขุนโตนด,,,17.0089122,99.8169233,,,,,,,,,,regional,,
4167641089,node,tourism,hotel,Sila Resort Sukhothai,,,17.0183305,99.8186523,,,,,,,,,,,,
4290056593,node,amenity,cafe,Say Hi Cafe,,,17.0091566,99.8199345,,,,,,,,,,,,
4297318591,node,tourism,hostel,At Home Sukhothai,,,17.0137925,99.8230511,,,,,,,,,,,,
4297401094,node,amenity,restaurant,ไม้กลางกรุง,Mai Klang Krung,,17.017911,99.8214482,,,,,,,Mo-Su 08:00-15:00,,,thai,,
4324894361,node,amenity,restaurant,ร้านอาหาร ณ โขทัย สไล์ยุโรป,,,17.0144724,99.7500185,+66 86 356 2255,,,,,,,,,tea;coffee_shop;local;steak_house;pasta;diner;italian_pizza;thai,,
4364737591,node,amenity,restaurant,พิซซ่าเตาฟืน,Pizza House wood fired oven,,17.0077619,99.8178498,+66 97 960 0700,,,,,,,,,burger;italian;pizza;italian_pizza,,Samprasong Guest house
4465768551,node,tourism,hotel,Nakorn De Sukothai Hotel,,,17.0089425,99.8198227,,,,,,,,,,,,
4490556325,node,amenity,cafe,,Crossroad Café & Hangout,,17.0101876,99.821368,,,,,,,,,,,,
