osm_id,osm_type,category,subcategory,name,name_en,name_th,lat,lng,phone,website,facebook,instagram,line_id,email,opening_hours,address_full,stars,cuisine,wheelchair,operator
259777623,node,tourism,hotel,100 Islands Resort & Spa,,,9.1024165,99.3047813,,,,,,,,,,,,
1377406506,node,tourism,hotel,แก้วสมุย รีสอร์ท,Kaew Samui Resort,แก้วสมุย รีสอร์ท,9.1144356,99.3454312,,,,,,,,,,,,
1378797006,node,tourism,hotel,โรงแรมบรรจงบุรี,Bunjongburi Hotel,โรงแรมบรรจงบุรี,9.1013931,99.3246855,,,,,,,,,,,,
1378797138,node,tourism,viewpoint,,,,9.0999344,99.3502181,,,,,,,,,,,,
1562211614,node,tourism,hotel,My Place @ Surat Hotel,,,9.1442805,99.3256564,,,,,,,,,,,,
1785620187,node,tourism,hotel,,,,9.0955514,99.2903471,,,,,,,,,,,,
1786293248,node,tourism,guest_house,,,,9.1034722,99.3134282,,,,,,,,,,,,
1788098911,node,tourism,hotel,,,,9.1050525,99.304087,,,,,,,,,,,,
1813945068,node,amenity,pub,Earthzone,,,9.1396725,99.3421824,+66 82 545 2693,,,,,,"Mo-Sa 07:00-13:00, 16:00-23:00; Su 09:00-13:00, 16:00-23:30","227/61, Chalolkrat 6/1, 84000",,thai,,
1821270986,node,amenity,pub,Turn On Coffee,,,9.1340578,99.3240536,,,,,,,,,,,,
1827694139,node,tourism,hotel,Monkeyhouse,,,9.1337196,99.328824,,,,,,,,,,,,
1829096376,node,tourism,viewpoint,สะพานคลองฉนาก,,,9.1830461,99.3261962,,,,,,,,,,,,
2187904588,node,tourism,hotel,The One Hotel,,,9.1410241,99.3337014,,,,,,,,,,,,
2502431118,node,tourism,hotel,Tapee Hotel,,,9.1430218,99.3255235,,,,,,,,,,,,
2668562630,node,tourism,hotel,ราชธานี,,,9.1457641,99.3272316,,,,,,,,,,,,
2671322533,node,tourism,guest_house,Monkey School Homestay,,,9.1311065,99.3916529,,https://www.firstschoolformonkeys.com/homestay/,,,,,,,,,,
2671322685,node,tourism,theme_park,Monkey Training College,,,9.1310803,99.3920776,,https://www.firstschoolformonkeys.com/,,,,,,,,,,
3268503297,node,tourism,guest_house,Chokkarun Guest House,,,9.1369039,99.3305126,,,,,,,,,,,,
3959993844,node,tourism,hotel,Hop Inn Surathani,,,9.0998486,99.3062956,,https://hopinnhotel.com/,,,,,,,,,,
4024849424,node,tourism,hotel,,Papangkorn House,,9.1466061,99.3332185,,,,,,,,,,,,
4122113603,node,tourism,viewpoint,Tapee River Viewpoint ,,,9.1451643,99.3236838,,,,,,,,,,,,
4122113768,node,tourism,hotel,Orchid Residence Suratthani,,,9.1502808,99.3318337,077214492 or 0824230086,,,,,,24/7,"666/5, ถนนหน้าเมือง",,,,
4122157089,node,tourism,hotel,Orchid Riverview Hotel,,,9.1422183,99.318775,,,,,,,,,,,,
4122938293,node,tourism,viewpoint,สะพานศรี​สุราษฎร์​,,,9.1738794,99.3584826,,,,,,,,,,,,
4225632989,node,tourism,hostel,บ้านแสนอบอุ่น,,,9.1455859,99.3371769,0946943308,,,,,matarmuttaratpun00@hotmail.com,,"229/30, ถนนอําเภอ, 84000",,,,เมธา มุททารัตน์
4376572492,node,tourism,attraction,ferry,,ferry,9.1934803,99.4480484,,,,,,,,,,,,
4583566294,node,tourism,hotel,นารายา รีสอร์ท,,นารายา รีสอร์ท,9.111591,99.3144452,,,,,,,,,,,,
4586483800,node,tourism,attraction,ปากน้ำกะแตะ,,ปากน้ำกะแตะ,9.2097917,99.477589,,,,,,,,,,,,
4688586098,node,amenity,bar,,Louvre bar,,9.1440555,99.3381888,,,,,,,,,,,,
4701347189,node,tourism,hostel,,Rooms at Surat,,9.1462648,99.3286875,,,,,,,,,,,,
4704620291,node,tourism,viewpoint,,Jetty River View Point,,9.1466602,99.324103,,,,,,,,,,,,
4706163606,node,tourism,hotel,,Bandon Hotel,,9.1419033,99.3235732,,,,,,,,,,,,
4706174192,node,tourism,hotel,,Intown Hotel,,9.1420299,99.3237028,,,,,,,,,,,,
4739101332,node,tourism,attraction,,Floating Village,,9.1506084,99.3203517,,,,,,,,,,,,
4904121421,node,tourism,hotel,,,,9.1399324,99.3277641,,,,,,,,,,,,
5174586830,node,tourism,viewpoint,,My point,,9.1557409,99.2778477,,,,,,,,,,,,
5324893221,node,tourism,hostel,,Toby’s Hostel,,9.1454682,99.3299581,,,,,,,,,,,,
5412162721,node,tourism,hostel,,Toby’s Hostel,,9.1457027,99.3297729,+66840530553,https://tobystravel.com/,,,,tobyshostel@gmail.com,Mo-Su 09:00-23:00,"297/14, ถนนตลาดใหม่, 84000",,,,Tao
5464131723,node,amenity,bar,,Bali,,9.1410042,99.3399965,,,,,,,,,,,,
5571091622,node,amenity,bar,,kiss,,9.1381306,99.3259351,,,,,,,Mo-Su 20:00-01:00,,,,,
5582098721,node,tourism,apartment,บ้านพร,,,9.1616721,99.3379568,,,,,,,Mo-Su 09:00-18:00,,,,,
5594172522,node,tourism,guest_house,Cheap Guesthouse,,,9.1436792,99.3281834,,,,,,,,,,,,
5842069985,node,tourism,hostel,Chang Bed And Bar Hostel,,,9.134495,99.3428055,+66945898597,https://www.booking.com/Share-6IzyCeA,,,,,24/7,"388/3, Amphoe Road",,,,
6384651285,node,tourism,hostel,,Urban cozy hostel,,9.1444753,99.3292304,,,,,,,,,,,,
6487139685,node,tourism,hostel,,Boundary Hostel & Cafe,,9.1463828,99.3287608,,,,,,,,,,,,
6531830351,node,tourism,hostel,Merlion Hostel,,,9.1434201,99.3277972,,,,,,,,,,,,
6531845900,node,tourism,viewpoint,Viewpoint to Bridge,,,9.1429869,99.3226855,,,,,,,,,,,,
6590240285,node,tourism,hostel,2street hostel,,2street Hostel,9.1449288,99.3239391,085 178 9306,https://www.booking.com/Share-n2UAT1,,,,,Mo-Su 14:00-22:00,"61, Ban Don Road, 84000",,,,
6831805897,node,tourism,hotel,Little PP Hometel,,,9.1388394,99.3264872,,,,,,,,,,,,
7025049385,node,tourism,viewpoint,,Baan Bon Khao - View Suai,,9.0930864,99.2889166,,,,,,,,,,,,
7123677285,node,amenity,bar,,Drunky Bear café,,9.145362,99.3266123,,,,,,,,,,,,
7140835948,node,tourism,guest_house,Donya Home,Donya Home,,9.1426075,99.4847631,,,,,,,,,,,,
7148859685,node,tourism,viewpoint,,Sunset View,,9.1366511,99.3129417,,,,,,,,,,,,
7183346124,node,tourism,hostel,Sleepbox Hostel,,,9.141991,99.3192194,,,,,,,,,,,,
7183346125,node,amenity,bar,Crossroads Riverside,,,9.1402778,99.3192552,,,,,,,Mo-Su 15:00-23:00,,,,,
7330646387,node,tourism,hostel,NCPLACE789,,,9.0887515,99.3694039,0953566962,,,,,,Mo-Su 09:00-18:35,"131/6, ถนนบ้านท่าเพชร, 84000",,,,Kknck
7799655668,node,tourism,hotel,Perfect Place,,,9.1202158,99.3363069,,,,,,,,,,,,
8735670817,node,tourism,hotel,,Cheaper Room Hotel,,9.1274103,99.3500272,,,,,,,,"8/7-8/10, Donnok, 84000",,,,
8938861124,node,tourism,hotel,Nok Hook Hotel,,,9.1366579,99.3304107,+6696 597 9429,https://facebook.com/nokhookcafe/,https://facebook.com/nokhookcafe/,,,,Mo-Su 08:00-20:00,,,,,
9281271917,node,tourism,hotel,Paragon Hometel,,,9.1234287,99.2947386,,,,,,,,"188/218  Moo 1, Wat Pradu, Surat Thani",3,,,
9607705954,node,tourism,hotel,Top Residence,,,9.1366451,99.3318793,+66-898-729-3986,,,,,,,,,,,
10006648217,node,tourism,hotel,B2,,,9.1170398,99.2985327,,,,,,,,Sathani Konsong Road,,,,
10567658609,node,tourism,hotel,rimnam lomyen resort,super and cheap,,9.1661553,99.3062643,+668091447747,https://www.facebook.com/rimnamlomyen,https://www.facebook.com/rimnamlomyen,,,,,"4 bang bai mai, 84000",,,,
10723177089,node,tourism,hotel,Little roadside hôtel,,,8.9709386,99.4608256,0840583508,,,,,,,,,,,
10744642281,node,tourism,hotel,BJ City Hotel,,,9.1370742,99.3227434,+6677203231,http://bjhotel-bke.zoombookdirect.com/,,,,,,,2,,,
10767447194,node,tourism,guest_house,Boathouse Marina Restaurant and Homestay,,,9.1375164,99.263862,,,,,,,,,,,,
11034086574,node,tourism,hostel,The Port Hostel,,,9.1415411,99.3225655,+66 86 595 4444; +66 77 286 000,,The Port Hostel,,,,,"4, Preedarat Road",,,,
11280646669,node,tourism,apartment,บายดี อพาต์ทเมนต์,,,9.076349,99.3688025,,,,,,,,,,,,
11297787769,node,tourism,hotel,,,,9.1571776,99.3471691,,,,,,,,,,,,
11310051672,node,tourism,hotel,Lee Hotel,,,9.1215514,99.3107274,,,,,,,,,3,,,
11391147469,node,tourism,hotel,,Bun Hotel,,9.1070369,99.3002441,,,,,,,,,,,,
