osm_id,osm_type,category,subcategory,name,name_en,name_th,lat,lng,phone,website,facebook,instagram,line_id,email,opening_hours,address_full,stars,cuisine,wheelchair,operator
617268801,node,amenity,cafe,ร้านโกปี๊ 1942,Coffee Shop 1942,,7.5541118,99.6048591,,,,,,,"Mo-Su,PH 07:00-17:00",,,,,
2738878661,node,tourism,hotel,บ้านอ่าวทอง,Ban Aothong,,7.5539383,99.6049248,,,,,,,,,,,,
2738878668,node,tourism,hotel,โรงแรมธรรมรินทร์,Thumrin Hotel,โรงแรมธรรมรินทร์,7.5551127,99.6056341,,,,,,,,,,,,
2738878676,node,amenity,restaurant,มิตรโอชา,,มิตรโอชา,7.5554203,99.6055151,,,,,,,,,,thai,,
2738878678,node,amenity,cafe,Jida´s Cafe,,ร้านโกปี้,7.5546722,99.6045764,,,,,,,,,,,,
2738878682,node,amenity,restaurant,๑๙๕๒ คาเฟ่,1952 Cafe',,7.554802,99.6049158,,,,,,,,,,,,Sritrang Hotel
2760165017,node,tourism,hotel,Rua Rasada Hotel,,,7.5649187,99.6312533,,,,,,,,,,,,
3053306846,node,tourism,hotel,โรงแรมแกรนด์สวีทนาขา,Grand Sweet Na Kha Hotel,,7.5993889,99.5951191,,,,,,,,"419, ถนน รพช. ตง. 2160, เมืองตรัง, 92000",,,,
3054762059,node,amenity,restaurant,พงษ์โอชา,Pong O Cha Dimsum,,7.5627098,99.6050873,,,,,,,Mo-Su 05:00-12:00,,,,,
3054973929,node,leisure,sports_centre,สนามกีฬาเทศบาลนครตรัง 2 (ทุ่งแจ้ง),,,7.5580789,99.5892368,,,,,,,,,,,,
3203085103,node,tourism,hotel,Thumrin Hotel Thrang,,,7.5607141,99.6035195,,,,,,,,,,,,
3203085121,node,amenity,marketplace,Nightmarket,,ถนนคนเดินสถานีรถไฟ,7.5549362,99.6047325,,,,,,,Sa-Su 18:00-21:00,,,,,
3272173762,node,amenity,restaurant,Dam La Lao,,,7.5412873,99.5939805,,,,,,,,,,thai,,
3272225761,node,tourism,guest_house,Sit Dharma Guesthouse,,,7.5267,99.587303,+6675258246,http://www.sitdharmaguesthouse.com/en/,,,,,,63 Moo 4,,,,
3318100063,node,tourism,hotel,Sukorn Cabana Resort,,,7.521722,99.6178789,,,,,,,,,,,,
3318102461,node,tourism,hotel,Grand Suite Inn,,,7.5563212,99.6305497,,,,,,,,,,,,
3318102561,node,tourism,hotel,Duangsakon House,,,7.5567785,99.6297772,,,,,,,,,,,,
3318103109,node,tourism,hotel,Koh Ngai Villa,,,7.5666057,99.6328457,,,,,,,,,,,,
3318104085,node,tourism,hotel,Queen Hotel,,,7.5589296,99.6093573,,,,,,,,,,,,
3318104296,node,tourism,hotel,Caesar Villa Hotel,,,7.5690997,99.6112753,,,,,,,,,,,,
3318104637,node,tourism,hotel,Ko Teng Hotel,,,7.5563038,99.6086211,,,,,,,,,,,,
3318104886,node,tourism,hotel,Nan Thi Moten,,,7.5543376,99.6033628,,,,,,,,,,,,
3318105262,node,tourism,hotel,Moe Men,,,7.5634045,99.604999,,,,,,,,,,,,
3318106861,node,tourism,hotel,Eco Inn Hotel,,,7.5640479,99.6049024,,,,,,,,,,,,
3318106862,node,tourism,hotel,Maen Chan Nam Chok,,,7.5634151,99.6061362,,,,,,,,,,,,
3318106876,node,tourism,hotel,Phi Chut A Maen Chan,,,7.5674832,99.6093442,,,,,,,,,,,,
3318108673,node,tourism,hotel,Mermaid Hotel,,,7.5683287,99.6068229,,,,,,,,,,,,
3318109747,node,tourism,hotel,Rakchan Hotel,,,7.5682276,99.6152182,,,,,,,,,,,,
3318109786,node,tourism,hotel,Wattana Park Hotel,,,7.5725429,99.6042989,,,,,,,,,,,,
3318110313,node,tourism,hotel,In Ya Wat Maen Chan,,,7.5762147,99.6173479,,,,,,,,,,,,
3318110323,node,tourism,hotel,Plammy Resort Hotel,,,7.5777462,99.6207543,,,,,,,,,,,,
3318111049,node,tourism,hotel,My House Garden Resort,,,7.576135,99.6181043,,,,,,,,,,,,
3959993845,node,tourism,hotel,Hop Inn Trang,,,7.5657115,99.6258854,,https://hopinnhotel.com/,,,,,,,,,,
3966133733,node,amenity,marketplace,ตลาดนัดเซนเตอร์พ้อย,,เซ็นเตอร์พ้อย,7.5592421,99.6118782,,,,,,,,,,,,
3966140478,node,shop,massage,,,,7.5478152,99.6062208,,,,,,,,,,,,
3966140580,node,tourism,information,tourism authority thailand,,,7.5517204,99.6100905,,,,,,,,,,,,
3966140669,node,tourism,guest_house,maison de cheer,,,7.5557206,99.6038509,,,,,,,,,,,,
4185485089,node,amenity,pub,Kopee Muangtrang,,โกปี้เมืองตรัง,7.5616029,99.6152844,,,,,,,,,,,,
4188861745,node,tourism,hotel,Chompu Nakarin Apartment,,,7.5690097,99.6129151,,,,,,,,,,,,
4317668495,node,tourism,information,ๅ,,,7.568331,99.6568488,,,,,,,,,,,,
4401168600,node,amenity,restaurant,บ้านสวนสุดาพร,,,7.5801339,99.6203283,,,,,,,,,,,,
4401397789,node,tourism,motel,บางรักแมนชั่น,,บางรักแมนชั่น,7.5406442,99.5984056,075231006,,,,,,,,,,,
4405185691,node,amenity,restaurant,เรือนไทยติ่มซำ,Ruan Thai Dim Sum,เรือนไทยติ่มซำ,7.5694888,99.6124248,,,,,,,,,,,,
4405214089,node,amenity,restaurant,พงษ์โอชา2,,พงษ์โอชา2,7.57039,99.6069,,,,,,,,,,,,
4445861789,node,amenity,restaurant,The Boxx,,The Boxx,7.5483662,99.6184326,,,,,,,,,,,,
4447373892,node,amenity,restaurant,ราดหน้าสร้างสัมพันธ์ ( ราดหน้าปริญญา ),,ราดหน้าสร้างสัมพันธ์ ( ราดหน้าปริญญา ),7.5416732,99.5943778,,,,,,,,,,,,
4451580500,node,amenity,restaurant,ต้นนุ่น 2 ติ่มซำ,,,7.5639183,99.6211451,,,,,,,,,,,,
4451584396,node,amenity,restaurant,เตาถ่าน บุฟเฟ่ต์หมูกระทะ,,,7.5638997,99.6200025,,,,,,,,,,,,
4465861989,node,tourism,motel,สุวรรณภูมิตรังรีสอร์ท,,สุวรรณภูมิตรังรีสอร์ท,7.517568,99.60796,,,,,,,,,,,,
4573368880,node,tourism,hotel,Namthip Residence,,,7.5484658,99.6096624,+66 87 469 2944,http://www.namthipresidencetrang.com,,,,,,,,,,
4605179389,node,tourism,guest_house,,Yamawa,,7.5581337,99.6087429,,,,,,,,,,,,
4605179489,node,tourism,hotel,,My friend hotel,,7.5532622,99.6056931,,,,,,,,,,,,
4605179789,node,tourism,guest_house,,Usabuy,,7.5538444,99.6082041,,,,,,,,,,,,
4611181390,node,amenity,restaurant,,Home made,,7.5433876,99.620826,,,,,,,,,,,,
4818195321,node,amenity,bar,,Ei8hty 6ix Bar,,7.5492887,99.6196969,,,,,,,,,,thai,,
4818288523,node,tourism,hotel,,Baan Bangrak Residence,,7.54042,99.5963369,,,,,,,,,,,,
4819125821,node,tourism,hotel,,Je'taime Hotel,,7.547575,99.6156448,,,,,,,,,,,,
5314676721,node,tourism,hotel,,,,7.5569459,99.6054724,,,,,,,,,,,,
5314676821,node,tourism,hotel,,,,7.5567409,99.6050865,,,,,,,,,,,,
5358285921,node,amenity,cafe,,Africano Coffee,,7.5427396,99.6161228,,,,,,,,,,,,
5368772564,node,amenity,cafe,Green House ณ ตรัง Coffee & Bakery,,,7.5569524,99.6107003,,,,,,,,,,,,
5369732111,node,amenity,cafe,Third Place Coffee,,,7.5610467,99.61191,,,,,,,,,,,,
5369796298,node,amenity,cafe,โรงน้ำชาหลงตรัง,,,7.5549141,99.6138389,,,,,,,,,,,,
5369796299,node,amenity,cafe,Passione del Caffé,,,7.5554003,99.6138653,,,,,,,,,,,,
