name,phone,email,website,facebook,address,note,source
Irish Clock,+66 42 247 450,happy@irishclockudon.com,https://irishclockudon.com/,https://www.facebook.com/p/Irish-Clock-100063708183515/,"19/5-6 Sampantamitr Road, Udon Thani 41000",,web-search 2026-05 (manual enrichment)
The Red Lion,,,,https://www.facebook.com/p/Redlion-UdonThani-100063594729484/,"Tambon Mak Khaeng, Mueang Udon Thani District, Udon Thani 41000",,web-search 2026-05 (manual enrichment)
Major Cineplex CentralPlaza Udonthani,+66 2 515 5555,,https://www.majorcineplex.com,https://www.facebook.com/MajorcineplexUdonthani/,"277/3 Prajaksinlapakom Rd, CentralPlaza Udonthani 5th Fl, Udon Thani 41000",,web-search 2026-05 (manual enrichment)
Full Throttle Bar & Grill,+66 82 950 1438,yanidaburns@gmail.com,,https://www.facebook.com/profile.php?id=100057360583423,"44/2 Samphan Thamit Alley, Tambon Mak Khaeng, Udon Thani 41000",,web-search 2026-05 (manual enrichment)
Nutty Park,,,,,"Prajak Sillapakom Rd, Tambon Mak Khaeng, Mueang Udon Thani, 41000",bar complex (multiple venues),web-search 2026-05 (manual enrichment)
Vikings Corner Bar,+66 90 185 8721,,,https://www.facebook.com/p/Vikings-Corner-Bar-100054203604232/,"Adunyadet Road (end of Soi Sampan), Udon Thani 41000",,web-search 2026-05 (manual enrichment)
Nuchy Music Bar,+66 62 293 6512,,,https://www.facebook.com/people/Nuchy-Music-Bar/100083083762979/,"Samphan Thamit Alley, Tambon Mak Khaeng, Udon Thani 41000",PERMANENTLY CLOSED,web-search 2026-05 (manual enrichment)
Pegasus Bar,+66 65 406 7014,pegasusbarudonthani@gmail.com,,https://www.facebook.com/p/Pegasus-bar-Udon-Thani-100076165359451/,"17/2 Samphan Thamit Alley, Tambon Mak Khaeng, Udon Thani 41000",,web-search 2026-05 (manual enrichment)
Fun Bar,+66 93 334 1171,,,https://www.facebook.com/FunBarUdon/,"Sampantamit Road, Udon Thani 41000",,web-search 2026-05 (manual enrichment)
Tinder Bar,,,,https://www.facebook.com/Udontinderbar/,Udon Thani,,web-search 2026-05 (manual enrichment)
Tipsy Music & Bar,+66 64 557 4445,,,https://www.facebook.com/TipsymusicbarUD/,"22/3 Si Sattha Rd, Tambon Mak Khaeng, Udon Thani 41000",bonus find (not in worklist),web-search 2026-05 (manual enrichment)
Smile Bar - Udonthani,+66 99 295 6351,,,https://www.facebook.com/p/Smile-Bar-Udonthani-100080447971458/,"187/7 Tambon Ban Lueam, Mueang Udon Thani 41000",,web-search 2026-05 (manual enrichment)
Zur Pfalz,,,,https://www.facebook.com/zurpfalz.udonthani.1,"4555 Samphan Thamit Alley, Tambon Mak Khaeng, Udon Thani 41000",German restaurant/bar,web-search 2026-05 (manual enrichment)
Piddle K Pub,,,,https://www.facebook.com/piddlekpub/,Udon Thani,sports pub (snooker),web-search 2026-05 (manual enrichment)
Blue Coral Bar,,,,https://www.facebook.com/people/The-blue-coral-bar-udon/100063761825051/,Udon Thani,FB only,web-search 2026-05 (manual enrichment)
Meeting Point,,,,https://www.facebook.com/themeetingpointudonthani/,"Soi Samphan Thamit (behind Central Plaza), Udon Thani 41000",,web-search 2026-05 (manual enrichment)
Honey Bar 1,+66 82 573 1016,,,https://www.facebook.com/people/Honey-bar-1-Udon-Thani/100088049898931/,"Samphan Thamit Road, Udon Thani 41000",,web-search 2026-05 (manual enrichment)
B&C Bar,,,,https://www.facebook.com/BCBarUdon/,Udon Thani,FB only,web-search 2026-05 (manual enrichment)
The Library,,,,https://www.facebook.com/TheLibraryUdon/,"69/17 Watthananuwong Rd, Tambon Mak Khaeng, Udon Thani 41000",nightclub,web-search 2026-05 (manual enrichment)
Red Bar,,,,https://www.facebook.com/people/Red-bar-udonthani/100054294289640/,"Samphan Thamit Alley, Udon Thani 41000",,web-search 2026-05 (manual enrichment)
Country Road / Country Bar,,,,https://www.facebook.com/p/Country-BAR-100054547326638/,"North end of Soi Samphan Thamit (opp. Udon Star hotel), Udon Thani 41000",American-themed bar,web-search 2026-05 (manual enrichment)
SF Cinema City (Landmark Plaza Udonthani),+66 42 247 100,udn@sfcinema.com,https://www.sfcinemacity.com/,https://www.facebook.com/sfcinemaudonthani/,"4th Floor, Landmark Plaza, Udon Thani 41000",,web-search 2026-05 (manual enrichment)
E.G.V Cinemas (Big C Udonthani),+66 86 630 2827,,,https://www.facebook.com/EgvBUD/,"415 M.3 Nittayo Rd, 3rd Fl Big C, Tambon Mak Khaeng, Udon Thani 41000",,web-search 2026-05 (manual enrichment)
Tawandang Udon Thani,+66 80 759 0055,,,https://www.facebook.com/p/100063650224562/,"Corner of Wattana Nuwong & Thikhananon Rd, Tambon Mak Khaeng, Udon Thani 41000",live-band nightclub (mor lam),web-search 2026-05 (manual enrichment)
UD Town,+66 42 932 999,,,https://www.facebook.com/UDTOWN/,"99/9 Thongyai Rd, Tambon Mak Khaeng, Udon Thani 41000",lifestyle mall / night market w/ live music,web-search 2026-05 (manual enrichment)
Rhythm & Bar Udon,+66 92 475 1083,,,https://www.facebook.com/RhythmBarUdon/,Udon Thani,bonus find (not in worklist),web-search 2026-05 (manual enrichment)
FIX Club Udon,+66 87 368 8625,,,https://www.instagram.com/fixclub.udon/,Udon Thani,bonus find; nightclub 21:00-03:00,web-search 2026-05 (manual enrichment)
Night Club Phoenix,,,,,"28 Thanon Udondutsadi (Udonrayadej), Tambon Mak Khaeng, Udon Thani 41000",bonus find,web-search 2026-05 (manual enrichment)
The Lucky Bar Udon Thani,+66 95 732 9680,,,https://www.facebook.com/LuckyBarUdonThani/,"25/2 Soi Samphan Thamit, Udon Thani 41000",bonus find,web-search 2026-05 (manual enrichment)
Liquid Bar / Liquid 9,,,,https://www.facebook.com/people/Liquid-9/100064877715916/,Udon Thani,Australian-inspired cafe/bar; FB only,web-search 2026-05 (manual enrichment)
Elite Udonthani,,Preedaeak252825@gmail.com,,https://www.facebook.com/p/Elite-Udonthani-61573863040871/,"24 Charoen Hotel complex, Tambon Mak Khaeng, Udon Thani 41000",live-band dance/nightclub,web-search 2026-05 (manual enrichment)
Fifty Fifty Bar,,,,https://www.facebook.com/people/Fifty-Fifty-Bar/100083638817897/,Udon Thani,expansion; beer/pool/music,"web-search 2026-05 (manual enrichment, expansion)"
See Bar,,,,https://www.facebook.com/SeeBarUdon/,Udon Thani,expansion; seafood/Isan + live music,"web-search 2026-05 (manual enrichment, expansion)"
Flower Bar,+66 95 732 9680,,,https://www.facebook.com/FlowerBarUdonThani/,"Samphan Thamit Alley (Day & Night complex), Udon Thani 41000",expansion; co-located w/ Lucky Bar,"web-search 2026-05 (manual enrichment, expansion)"
The Sports Bar,+66 92 861 1521,,https://thesportsbarudonthani.weebly.com/,https://www.facebook.com/Thesportsbarr/,"88/11 Soi Sampanthamit, Tambon Mak Khaeng, Udon Thani 41000",expansion,"web-search 2026-05 (manual enrichment, expansion)"
DNA Udonthani,,,,https://www.facebook.com/p/DNA-UDONTHANI-100064134551099/,Udon Thani,expansion; LINE: DNAPUB; variety pub,"web-search 2026-05 (manual enrichment, expansion)"
Little Havana,+66 92 615 1275,little.havana.udon@gmail.com,,https://www.facebook.com/havana.udon/,"Sampanthamit Rd (Day & Night complex), Tambon Mak Khaeng, Udon Thani 41000",expansion; beer garden/bistro,"web-search 2026-05 (manual enrichment, expansion)"
Tiffy Bar,,,,https://www.facebook.com/p/Tiffy-Bar-100082965621109/,"37/7 Samphan Thamit Alley, Tambon Mak Khaeng, Udon Thani 41000",expansion; opens 2pm,"web-search 2026-05 (manual enrichment, expansion)"
Sakura Bar Udon,,,,https://www.facebook.com/sakurabarudon/,"Nutty Park, Tambon Mak Khaeng, Udon Thani 41000",expansion,"web-search 2026-05 (manual enrichment, expansion)"
89 Upper Bar & Cafe,+66 96 462 4593,89upper.udtown@gmail.com,,https://www.facebook.com/Upper.udtown/,"Floor 2, Soi 5 UD Town, Thongyai Rd, Udon Thani 41000",expansion; bar/cafe/restaurant,"web-search 2026-05 (manual enrichment, expansion)"
The Beer Garden Udon Thani,,,,https://www.facebook.com/beergardenudonthani/,"168/5 M.5 Tambon Nong Bua, Mueang Udon Thani 41000",expansion,"web-search 2026-05 (manual enrichment, expansion)"
Ekkamai Udon Thani,,,,https://www.facebook.com/akkamaiudonthani/,"Tambon Ban Lueam, Mueang Udon Thani 41000",expansion; live-music nightclub,"web-search 2026-05 (manual enrichment, expansion)"
Aussie Burger & Sports Bar,,,,,"321 Soi Srisunthon, Nittayo Rd, Udon Thani 41000",expansion; sports bar,"web-search 2026-05 (manual enrichment, expansion)"
The Secret Bar (Playground),,,,https://www.facebook.com/playground.udon/,"56 Tambon Mak Khaeng, Mueang Udon Thani 41000",expansion; music bar,"web-search 2026-05 (manual enrichment, expansion)"
Tune Model Pub & Karaoke,+66 63 598 5729,,,https://www.facebook.com/tunekaraokeudon/,"Phon Phisai Rd, Udon Thani 41000",expansion; opens 9pm,"web-search 2026-05 (manual enrichment, expansion)"
The Cottage Sky Bar,+66 82 662 6996,,,https://www.facebook.com/thecottageskybar/,"227/6 Udondusadee Soi 3, Udon Thani 41000",expansion; rooftop bar (Cottage Hotel),"web-search 2026-05 (manual enrichment, expansion)"
Wine Society Pub & Restaurant,+66 81 662 7977,,,https://www.facebook.com/winesociety.ud,"2nd Fl, Soi 5 UD Town, Thong Yai Rd, Tambon Mak Khaeng, Udon Thani 41000",expansion; pub/restaurant,"web-search 2026-05 (manual enrichment, expansion)"
305 Bar & Restaurant,,,https://305bar-udon.business.site/,https://www.facebook.com/305Bar/,"305, 17 Prajaksinlapakom Rd, Tambon Mak Khaeng, Udon Thani 41000",expansion; pub/bar,"web-search 2026-05 (manual enrichment, expansion)"
The Country Grill,+66 88 956 0850,,https://thecountrygrill.business.site/,https://www.facebook.com/udoncountrygrill/,"37/18 Phachauthit Rd, Tambon Mak Khaeng, Udon Thani 41000",expansion; western/Thai grill bar,"web-search 2026-05 (manual enrichment, expansion)"
The ShaDow,+66 87 860 2902,,,,"306/20-21 Prajak Sillapakom Rd, Udon Thani 41000",expansion; may be renamed T-Sood,"web-search 2026-05 (manual enrichment, expansion)"
Iconic Udonthani,,,https://www.iconicudon.com/,https://www.facebook.com/Iconic.uth/,"588/22 M.1 Tambon Ban Lueam, Mueang Udon Thani 41000",expansion; nightclub,"web-search 2026-05 (manual enrichment, expansion)"
The White Box,+66 93 424 4930,,,https://www.facebook.com/whiteboxudon/,"Nutty Park, Tambon Mak Khaeng, Udon Thani 41000",expansion; restaurant/bar,"web-search 2026-05 (manual enrichment, expansion)"
U-Tube Bar & Restaurant,+66 89 944 2200,,,https://www.facebook.com/utubebarandrestaurant/,"Tambon Ban Lueam, Udon Thani 41000","expansion; live music, opens 5:30pm","web-search 2026-05 (manual enrichment, expansion)"
The Good Corner Restaurant and Bar,+66 98 206 5125,,,https://www.facebook.com/steakpizza/,"Prajak Rd (entrance to Nutty Park), Tambon Mak Khaeng, Udon Thani 41000",expansion; restaurant/bar,"web-search 2026-05 (manual enrichment, expansion)"
9T Station Cafe & Bar,+66 99 141 9198,9tstationcafe@gmail.com,,https://www.facebook.com/9tstation/,"Near district office, Udon Thani 41000",expansion; cafe & bar,"web-search 2026-05 (manual enrichment, expansion)"
SAY Cafe & Bar,+66 93 748 6749,Sayyyyy369@gmail.com,,https://www.facebook.com/p/SAY-Cafe-Bar-61559338967545/,Udon Thani 41000,expansion; cafe & bar,"web-search 2026-05 (manual enrichment, expansion)"
