id,publicId,gid,displayName,name_thai,name_english,lat,lng,zipcode,categories,primary_category,is_likely_food,default_photo_url,detail_url
289694,289694aN,09VwpBTRPo469Hti5oq0UKgxJ2nGLu,ข้าวญี่ปุ่น by F&P SUSHI FOODS,ข้าวญี่ปุ่น by F&P SUSHI FOODS,,12.969392230013593,100.90141659602523,20150,อาหารญี่ปุ่น|ซูชิ,อาหารญี่ปุ่น,1,https://img.wongnai.com/p/_-x_/2019/09/26/98e7884273cd4b88b87fa45725b2fc8a.jpg,https://www.wongnai.com/restaurants/289694aN
363644,363644om,09VwpBTRWaoMtClxnFUvCoWV1TKGnl,FulFill.,,,12.945097412338416,100.88849131051144,,ช้อปปิ้ง ,ช้อปปิ้ง ,0,https://img.wongnai.com/p/_-x_/2018/10/30/395f31d318ca4a12aa89a849a2b3545a.jpg,https://www.wongnai.com/restaurants/363644om
2030748,2030748Fg,09VxpbvwW8Ie1r8ean4fQmezDyV0c1,PunThai Coffee แหลมบาลีฮาย,กาแฟพันธุ์ไทย,PunThai Coffee,12.924809,100.866997,20150,ร้านกาแฟ/ชา,ร้านกาแฟ/ชา,1,https://img.wongnai.com/p/_-x_/2022/12/15/2feeee4ad5d24cfe838b44fabcd3b725.jpg,https://www.wongnai.com/restaurants/2030748Fg
2948756,2948756FR,09VyJVRC4hPjMCLWPR12PJBEefLnEW,Pizza Hut พัทยาใต้,พิซซ่าฮัท,Pizza Hut,12.923832706236375,100.8811360783875,,พิซซ่า|ฟาสต์ฟู้ด/จานด่วน,พิซซ่า,1,https://img.wongnai.com/p/_-x_/2026/05/14/87b6397c3c3e4c7f88cbc9b0b78a49a3.jpg,https://www.wongnai.com/restaurants/2948756FR
29827,29827PT,09VwpBTRNhGUpNU382aEKzc7BD4vTC,Pizza Hut เซ็นทรัลมารีน่า พัทยา,พิซซ่าฮัท,Pizza Hut,12.945569,100.889988,20150,พิซซ่า|ฟาสต์ฟู้ด/จานด่วน,พิซซ่า,1,https://img.wongnai.com/p/_-x_/2026/05/14/bb7dc41cba6e42e79b0a01387714469b.jpg,https://www.wongnai.com/restaurants/29827PT
29784,29784IW,09VwpBTRH2GhqpxVJrhefot5Noxacm,Pizza Hut พัทยา นาเกลือ,พิซซ่าฮัท,Pizza Hut,12.969284,100.908474,20150,พิซซ่า|ฟาสต์ฟู้ด/จานด่วน,พิซซ่า,1,https://img.wongnai.com/p/_-x_/2026/05/14/5bacc2d5124a44c0bd2d47ad49b8c9f5.jpg,https://www.wongnai.com/restaurants/29784IW
2396381,2396381IV,09VxzTY7Iklf5HnkGi1cf51agxbcPm,Sunday House ซอยวัดบุญสัมพันธ์ (เขาน้อย),Sunday House,Sunday House,12.925884158246,100.90273967948,20150,คาเฟ่|ร้านกาแฟ/ชา|เบเกอรี/เค้ก,คาเฟ่,1,https://img.wongnai.com/p/_-x_/2025/03/16/5701a793c9dc4f379133b2fbed04af53.jpg,https://www.wongnai.com/restaurants/2396381IV
662831,662831qB,09VxGqfLf6H6v9vEqU7VEnjDKx5hRO,Pizza Hut พีทีที จอมเทียน,พิซซ่าฮัท,Pizza Hut,12.882634,100.898622,,พิซซ่า|ฟาสต์ฟู้ด/จานด่วน,พิซซ่า,1,https://img.wongnai.com/p/_-x_/2026/05/14/a087c5bf7aa94a0ea0c2e4464bacfb27.jpg,https://www.wongnai.com/restaurants/662831qB
720733,720733Lg,09VxK5gOXXDRUVcNOO7czoLsGuxMZE,Pizza Hut สุขุมวิท-พัทยา 53,พิซซ่าฮัท,Pizza Hut,12.930747,100.910479,,พิซซ่า|ฟาสต์ฟู้ด/จานด่วน,พิซซ่า,1,https://img.wongnai.com/p/_-x_/2026/05/14/8656fa2d41f44cf0b22fe4879c7c9faf.jpg,https://www.wongnai.com/restaurants/720733Lg
1750089,1750089jV,09VxionJzpQZCswKhbZYNySfZtTLnT,Never give up pattaya Pattaya,Never give up pattaya,,12.918431252012295,100.8787646703422,20150,อาหารนานาชาติ,อาหารนานาชาติ,1,https://img.wongnai.com/p/_-x_/2022/07/22/759b604503b6482d9f41b700b4b49da1.jpg,https://www.wongnai.com/restaurants/1750089jV
224971,224971FM,09VwpBTRVGxUJKW3VDhULM4z3sMWL1,The Chocolate Factory Pattaya,เดอะ ช็อคโกแลต แฟคทอรี่,The Chocolate Factory,12.921132327144152,100.85928931832314,,เบเกอรี/เค้ก|คาเฟ่|อาหารอิตาเลียน|ของหวาน,เบเกอรี/เค้ก,1,https://img.wongnai.com/p/_-x_/2016/05/04/51bcbc952f4b4384ab8421e6406b8732.jpg,https://www.wongnai.com/restaurants/224971FM
1983412,1983412SM,09VxoLPcUF7AXlFGsK1Lfk3FIyIY2y,Bull Beach Club Pattaya,Bull Beach Club,,12.993204,100.922621,,อาหารฟิวชั่น|คาเฟ่|อาหารไทย,อาหารฟิวชั่น,1,https://img.wongnai.com/p/_-x_/2024/03/18/9c483ac4187e423cb7a05b9e3815828b.jpg,https://www.wongnai.com/restaurants/1983412SM
261729,261729JA,09VwpBTRP6sR2aGAoR6c9gLoJMPaTB,Café Amazon - SD1642 ตลาดน้ำสี่ภาคพัทยา,คาเฟ่ อเมซอน - SD1642,Café Amazon - SD1642,12.867080406367023,100.90496180579066,,ร้านกาแฟ/ชา,ร้านกาแฟ/ชา,1,https://img.wongnai.com/p/_-x_/2023/02/17/2fe0a7cd80fe4eb4a875d4cbe7fd7480.jpg,https://www.wongnai.com/restaurants/261729JA
624972,624972Ae,09VxEZdRJaoZRG9yEpdC1IrvELhDpk,ก๋วยเตี๋ยวเรือแร่ดสยาม,ก๋วยเตี๋ยวเรือแร่ดสยาม,,12.921317594424,100.90981955779,20150,ก๋วยเตี๋ยว,ก๋วยเตี๋ยว,1,https://img.wongnai.com/p/_-x_/2020/09/09/be45b186048649aaa86f5660496e1f53.jpg,https://www.wongnai.com/restaurants/624972Ae
